,"(x0, y0)",converged to,closest fp,stability,success
0,"(0.35028611717513297, 0.12190582585228098)","(0.0021188675891608, 0.0004230804624967277)","(0.0, 0.0)",unstable,False
0,"(-0.9075669097077098, -0.3895330035004891)","(-0.2960883378982544, -0.1035497635602951)",,,False
0,"(0.6665302076021982, 0.4155663540164627)","(2.9986329078674316, 0.0009202182409353554)","(3.0, 0.0)",stable,True
0,"(0.37787898625857436, 0.9058220428755305)","(0.0005359649658203125, 1.9992868900299072)","(0.0, 2.0)",stable,True
0,"(0.7916961065878731, 0.6588536942383616)","(2.9890568256378174, 0.00454788189381361)","(3.0, 0.0)",stable,True
0,"(0.36538387647428855, 0.36227097103333417)","(0.0007709920173510909, 0.0015285343397408724)","(0.0, 0.0)",unstable,False
0,"(0.9916214634815155, -0.2921534645381051)","(2.9923927783966064, -0.0008876592037267983)","(3.0, 0.0)",stable,True
0,"(-0.19867120220010973, -0.34822523271227046)","(-0.026785755529999733, -0.0965934470295906)","(0.0, 0.0)",unstable,False
0,"(-0.5049328271556275, 0.10346188068838516)","(-0.006995257921516895, 0.0021030225325375795)","(0.0, 0.0)",unstable,False
0,"(0.19693254908573035, -0.13490097905064827)","(0.0020412132143974304, -0.002028359565883875)","(0.0, 0.0)",unstable,False
0,"(0.8831817216266281, -0.4495376168146807)","(3.0011909008026123, -0.000817349529825151)","(3.0, 0.0)",stable,True
0,"(0.8491148455058976, 0.15254777032097316)","(2.999814510345459, 1.3570487681136001e-05)","(3.0, 0.0)",stable,True
0,"(-0.5320668509629272, 0.7647319392621539)","(0.0011099338298663497, 2.0028042793273926)","(0.0, 2.0)",stable,True
0,"(-0.16994627009497396, -0.6239183166934605)","(-0.025461528450250626, -0.21138587594032288)",,,False
0,"(0.011609478928501935, -1.2395622729854072)","(-0.0009518592851236463, 1.9873803853988647)","(0.0, 2.0)",stable,False
0,"(0.4175104215235664, -0.2805699073510558)","(0.004829001612961292, -0.0026869475841522217)","(0.0, 0.0)",unstable,False
0,"(0.3648714834466033, -0.33785118936141356)","(0.0037047802470624447, -0.0005120187997817993)","(0.0, 0.0)",unstable,False
0,"(-0.6333338761615301, -0.9060350401871328)","(-0.19285592436790466, -0.4073430895805359)",,,False
0,"(0.8186098645702186, -0.5745210440972006)","(3.0009021759033203, -0.0003234744071960449)","(3.0, 0.0)",stable,True
0,"(0.01710087843382312, -0.3499511035658492)","(0.0004855422303080559, -0.006615656428039074)","(0.0, 0.0)",unstable,False
0,"(0.1950090671071052, 0.5484520683875258)","(0.001590950763784349, 0.0027946890331804752)","(0.0, 0.0)",unstable,False
0,"(1.4821561973260824, 1.150381358526837)","(2.961899995803833, 0.013026011176407337)","(3.0, 0.0)",stable,True
