,"(x0, y0)",converged to,closest fp,stability,success
0,"(0.07230775357285986, 0.24227947882315337)","(0.0007387295481748879, 0.0016214161878451705)","(0.0, 0.0)",unstable,False
0,"(-0.48277666411258785, 0.05998109699388708)","(-0.004815804772078991, 0.001478122896514833)","(0.0, 0.0)",unstable,False
0,"(-0.27070555286703674, -0.24533070545746505)","(-0.04306984692811966, -0.06493028998374939)","(0.0, 0.0)",unstable,False
0,"(-0.3973756558800698, -0.09989227886272965)","(-0.06364668905735016, -0.017036546021699905)","(0.0, 0.0)",unstable,False
0,"(-0.153227424093982, -0.12774772561026662)","(-0.014502912759780884, -0.02427653595805168)","(0.0, 0.0)",unstable,False
0,"(0.2803573091821023, 0.03689608129422955)","(0.0038921236991882324, 0.0009609401458874345)","(0.0, 0.0)",unstable,False
0,"(-0.365248847354503, 0.47031319861978466)","(-0.004062002990394831, 0.0032186568714678288)","(0.0, 0.0)",unstable,False
0,"(-0.11460844849250235, 0.18417142085171212)","(-0.00037410558434203267, 0.0010019063483923674)","(0.0, 0.0)",unstable,False
0,"(0.49723196687410937, 0.03924421196402466)","(0.0019110857974737883, 0.00029308797093108296)","(0.0, 0.0)",unstable,False
0,"(-0.1507845459823949, -0.01720881350268299)","(-0.009611815214157104, -0.001358918147161603)","(0.0, 0.0)",unstable,False
0,"(0.21097248651795983, 0.026124121704004986)","(0.0029680102597922087, -2.393275462964084e-05)","(0.0, 0.0)",unstable,False
0,"(-0.012112099764988709, 0.740004445376331)","(0.00272456556558609, 2.0035533905029297)","(0.0, 2.0)",stable,True
0,"(0.29941936974739286, -0.43769541741989254)","(0.002353835152462125, -0.001468914793804288)","(0.0, 0.0)",unstable,False
0,"(-0.25755903246668105, 0.2896778396644674)","(-0.003006142331287265, 0.0033775209449231625)","(0.0, 0.0)",unstable,False
0,"(0.10435637346378598, 0.24458202400605006)","(0.0018185466760769486, 0.0023796111345291138)","(0.0, 0.0)",unstable,False
0,"(0.5114479944886893, -0.062143257812930036)","(0.002390360925346613, -0.0007244668668136001)","(0.0, 0.0)",unstable,False
0,"(-0.048788381848157245, -0.5675175776826907)","(-0.0010876059532165527, -0.14566561579704285)",,,False
0,"(0.3739395835596904, -0.03238219017001073)","(0.0021116852294653654, 0.0007019281620159745)","(0.0, 0.0)",unstable,False
0,"(-0.3670622881507428, -0.27133693871903747)","(-0.06945112347602844, -0.0712977796792984)","(0.0, 0.0)",unstable,False
0,"(-0.5416229668393232, 0.07197623024366812)","(0.9514875411987305, 1.0277020931243896)","(1.0, 1.0)",unstable,False
0,"(0.3772951328297068, 0.03371169528970771)","(0.0031978965271264315, -9.544267959427088e-05)","(0.0, 0.0)",unstable,False
0,"(0.19057178794857907, -0.2927334523501876)","(0.001594260334968567, -0.002045279834419489)","(0.0, 0.0)",unstable,False
0,"(-0.1865752332340329, -0.3420538902328611)","(-0.02507011592388153, -0.09036360681056976)","(0.0, 0.0)",unstable,False
0,"(-0.4461991609400778, -0.32296250243264224)","(-0.09480348974466324, -0.09401080757379532)","(0.0, 0.0)",unstable,False
0,"(0.23425794701317457, 0.2708869656340637)","(0.0008135288953781128, 0.0009733379120007157)","(0.0, 0.0)",unstable,False
0,"(-0.29783225693671234, 0.020748021755508602)","(-0.0026275694835931063, 0.0004270784556865692)","(0.0, 0.0)",unstable,False
0,"(-0.3673014493321624, -0.42242372057633676)","(-0.07419334352016449, -0.1372143030166626)",,,False
