,"(x0, y0)",converged to,closest fp,stability,success
0,"(0.1796257516932195, -0.1241661309013235)","(0.000748774386011064, -0.00011634528345894068)","(0.0, 0.0)",unstable,False
0,"(0.5605419126912585, -0.1694863758218229)","(0.0014098644023761153, -0.0004310697258915752)","(0.0, 0.0)",unstable,False
0,"(-0.10852615875215611, 0.04953207082625021)","(-0.0005755946040153503, 0.0005198844010010362)","(0.0, 0.0)",unstable,False
0,"(-0.18408426021039617, 0.11278125477696573)","(-0.0012827843893319368, 0.0007228806498460472)","(0.0, 0.0)",unstable,False
0,"(-0.0804266361729901, 0.3628040076190692)","(-0.0004555836203508079, 0.0031812130473554134)","(0.0, 0.0)",unstable,False
0,"(0.16480859034806278, 0.2325577549548016)","(0.0032266825437545776, 0.003261864185333252)","(0.0, 0.0)",unstable,False
0,"(0.25793251971731784, -0.19859760686315914)","(0.003777152393013239, -0.0020944923162460327)","(0.0, 0.0)",unstable,False
0,"(0.1596723894530365, 0.15453042802694536)","(0.0006623029476031661, 0.0004348725196905434)","(0.0, 0.0)",unstable,False
0,"(0.3755454940557219, -0.7283057754909991)","(-0.003686249256134033, 2.0122270584106445)","(0.0, 2.0)",stable,False
0,"(0.3559716623050379, -0.5302502618754098)","(0.0024331032764166594, -0.00267946720123291)","(0.0, 0.0)",unstable,False
0,"(0.29310017347337436, 0.09831819764623283)","(0.004239094443619251, 0.0010356620186939836)","(0.0, 0.0)",unstable,False
0,"(-0.5027533088850353, 0.7365457576836544)","(-0.003929316997528076, 0.0018891453510150313)","(0.0, 0.0)",unstable,False
0,"(-0.5949798866816117, 0.4843116562312977)","(0.0015433788066729903, 1.9994494915008545)","(0.0, 2.0)",stable,True
0,"(-0.0375081988816232, 0.5321581466686471)","(9.085833880817518e-05, 0.0036289929412305355)","(0.0, 0.0)",unstable,False
0,"(-0.3365664681135509, -0.381916132689653)","(-0.06663414090871811, -0.1148470863699913)",,,False
0,"(0.24984548280814983, -0.23369058952061153)","(0.0026240735314786434, -0.0030867457389831543)","(0.0, 0.0)",unstable,False
0,"(-0.5079231499044221, -0.1016826859271157)","(-0.09041840583086014, -0.0009725734707899392)","(0.0, 0.0)",unstable,False
0,"(0.03956047189629659, 0.24856151089473272)","(0.0006978735327720642, 0.0011856794590130448)","(0.0, 0.0)",unstable,False
0,"(-0.3824284797243655, -0.05927959764382223)","(-0.053185880184173584, -0.00525313476100564)","(0.0, 0.0)",unstable,False
