,Unnamed: 0,"(x0, y0)",converged to,closest fp,stability,success,x0,y0,converged to with reg,closest fp with reg,stability with reg,success with reg
0,0,"(-0.06060242726314717, 0.05476082347154453)","(-8.687675290275365e-05, 0.00046522318734787405)","(0.0, 0.0)",unstable,False,-0.06060242726314717,0.05476082347154453,"(-0.00013409927487373352, 1.9991867542266846)","(0.0, 2.0)",stable,False
1,0,"(0.15533915286114605, 0.27814211282477835)","(0.0015030056238174438, 0.002780181122943759)","(0.0, 0.0)",unstable,False,0.15533915286114605,0.27814211282477835,"(0.0004883289220742881, 2.0007545948028564)","(0.0, 2.0)",stable,True
2,0,"(0.006941554882456393, -0.5142521899551584)","(0.0008938568644225597, -0.006469368934631348)","(0.0, 0.0)",unstable,False,0.006941554882456393,-0.5142521899551584,"(0.002788206096738577, 2.0065629482269287)","(0.0, 2.0)",stable,False
3,0,"(-0.0691118727444458, 0.23800650913264274)","(-0.0011888534063473344, 0.0018811256159096956)","(0.0, 0.0)",unstable,False,-0.0691118727444458,0.23800650913264274,"(0.00015973001427482814, 1.9997196197509766)","(0.0, 2.0)",stable,True
4,0,"(-0.09329791700810086, 0.28466278353347774)","(-0.0007107064011506736, 0.0018011570209637284)","(0.0, 0.0)",unstable,False,-0.09329791700810086,0.28466278353347774,"(1.445512294769287, 0.7168259024620056)",None,None,False
5,0,"(-0.050594530930700064, -0.022486380214342776)","(-0.0018909156788140535, -0.0019350331276655197)","(0.0, 0.0)",unstable,False,-0.050594530930700064,-0.022486380214342776,"(0.0034190535079687834, 0.019050030037760735)","(0.0, 0.0)",unstable,False
6,0,"(-0.4121548001608972, 0.009905030096670153)","(-0.05951924994587898, 0.014547395519912243)","(0.0, 0.0)",unstable,False,-0.4121548001608972,0.009905030096670153,"(-0.01379589457064867, 0.08196815848350525)","(0.0, 0.0)",unstable,False
7,0,"(0.04812774571173621, -0.23337858671503534)","(-3.6320088838692755e-05, -0.0022377222776412964)","(0.0, 0.0)",unstable,False,0.04812774571173621,-0.23337858671503534,"(0.0009997047018259764, 1.9946765899658203)","(0.0, 2.0)",stable,False
8,0,"(-0.7450260502225429, -0.05079073676011564)","(-0.16870887577533722, 0.06503383070230484)",,,False,-0.7450260502225429,-0.05079073676011564,"(-0.1516817808151245, 0.09117771685123444)",None,None,False
9,0,"(0.24509036645191773, 0.457795451999109)","(0.003282493446022272, 0.005804938264191151)","(0.0, 0.0)",unstable,False,0.24509036645191773,0.457795451999109,"(0.0003418952110223472, 1.9993152618408203)","(0.0, 2.0)",stable,True
10,0,"(-0.12716757591055539, 0.3656073810001408)","(-0.0011036157375201583, 0.0020570040214806795)","(0.0, 0.0)",unstable,False,-0.12716757591055539,0.3656073810001408,"(1.0768632888793945, 0.9529744982719421)","(1.0, 1.0)",unstable,False
11,0,"(0.6104600279560638, 0.16764807262442954)","(0.0029644132591784, 0.0001887589751277119)","(0.0, 0.0)",unstable,False,0.6104600279560638,0.16764807262442954,"(0.895355224609375, 1.0812245607376099)",None,None,False
12,0,"(-0.40489937748604105, -0.10736454043649894)","(-0.07564054429531097, -0.02166699431836605)","(0.0, 0.0)",unstable,False,-0.40489937748604105,-0.10736454043649894,"(-0.07116394490003586, -0.016671134158968925)","(0.0, 0.0)",unstable,False
13,0,"(-0.029337623859166516, 0.2977532534882048)","(-0.0006987865781411529, 0.0021422444842755795)","(0.0, 0.0)",unstable,False,-0.029337623859166516,0.2977532534882048,"(1.1938681602478027, 0.8684948682785034)",None,None,False
14,0,"(-0.17223776280555098, -0.3658802442980396)","(-0.025138478726148605, -0.10065023601055145)",,,False,-0.17223776280555098,-0.3658802442980396,"(-0.025442492216825485, -0.09370630979537964)","(0.0, 0.0)",unstable,False
15,0,"(0.08768411626069203, -0.05464975417316026)","(0.0013195842038840055, -0.0016283162403851748)","(0.0, 0.0)",unstable,False,0.08768411626069203,-0.05464975417316026,"(-0.00036979615106247365, 1.9971460103988647)","(0.0, 2.0)",stable,False
16,0,"(-0.35574068985176127, -0.14142965749268666)","(-0.061090171337127686, -0.03277914598584175)","(0.0, 0.0)",unstable,False,-0.35574068985176127,-0.14142965749268666,"(-0.05312648415565491, -0.028461163863539696)","(0.0, 0.0)",unstable,False
17,0,"(-0.2984204009086969, 0.0811874645346934)","(-0.00278494949452579, -0.00028068869141861796)","(0.0, 0.0)",unstable,False,-0.2984204009086969,0.0811874645346934,"(1.8021271228790283, 0.5149815678596497)",None,None,False
18,0,"(0.539691411250697, -0.5705394487414439)","(0.01224584598094225, -0.014512347988784313)","(0.0, 0.0)",unstable,False,0.539691411250697,-0.5705394487414439,"(3.008721113204956, -0.0005150676006451249)","(3.0, 0.0)",stable,True
19,0,"(-0.3093693650681304, 0.1475666441283048)","(-0.0032668053172528744, 0.0008434861665591598)","(0.0, 0.0)",unstable,False,-0.3093693650681304,0.1475666441283048,"(2.3732683658599854, 0.2391916960477829)",None,None,False
20,0,"(0.12565541287576665, -0.06353696852259703)","(0.0013731062645092607, -0.00012433827214408666)","(0.0, 0.0)",unstable,False,0.12565541287576665,-0.06353696852259703,"(-0.0017660260200500488, 1.998548150062561)","(0.0, 2.0)",stable,False
21,0,"(-0.2615475282169765, -0.10504431539301862)","(-0.03590293973684311, -0.02171800658106804)","(0.0, 0.0)",unstable,False,-0.2615475282169765,-0.10504431539301862,"(-0.03402490168809891, -0.01569041796028614)","(0.0, 0.0)",unstable,False
22,0,"(-0.16850260071541664, 0.585012846863654)","(-0.0021737038623541594, 0.0025054574944078922)","(0.0, 0.0)",unstable,False,-0.16850260071541664,0.585012846863654,"(0.9936231374740601, 1.0036122798919678)","(1.0, 1.0)",unstable,False
23,0,"(-0.2184912427942061, 0.24195367700296885)","(-0.0024170218966901302, 0.002855354454368353)","(0.0, 0.0)",unstable,False,-0.2184912427942061,0.24195367700296885,"(1.148653268814087, 0.893997073173523)",None,None,False
