,"(x0, y0)",converged to,closest fp,stability,success
0,"(-0.09551322523948073, 0.8434497507853885)","(-0.00014708339585922658, 2.0009124279022217)","(0.0, 2.0)",stable,True
0,"(-0.3916949814032585, -0.600386627011001)","(-0.09839950501918793, -0.22984537482261658)",,,False
0,"(0.22950849238761137, 0.14738040149958095)","(0.0021839947439730167, 0.0015843480359762907)","(0.0, 0.0)",unstable,False
0,"(0.23254760075829034, 0.7707212112735107)","(0.9924104809761047, 1.0065981149673462)","(1.0, 1.0)",unstable,False
0,"(0.06500272064098388, 0.13418995648087684)","(0.0005964815500192344, 0.0013637334341183305)","(0.0, 0.0)",unstable,False
0,"(-0.12778319173821037, 0.7103529783789919)","(0.0005760878557339311, 0.006446969695389271)","(0.0, 0.0)",unstable,False
0,"(-0.4339360631992442, -0.02432163552110209)","(-0.06829966604709625, 0.006216622889041901)","(0.0, 0.0)",unstable,False
0,"(0.25524543362907653, -0.3768806600154912)","(0.001263439655303955, -0.00355374813079834)","(0.0, 0.0)",unstable,False
0,"(0.81233061549285, -0.12988865135099714)","(2.996347427368164, 0.00042555929394438863)","(3.0, 0.0)",stable,True
0,"(0.7422859638516159, -0.13156855896570416)","(-0.0025690197944641113, -0.0006843984010629356)","(0.0, 0.0)",unstable,False
0,"(-0.5054124508686547, 0.5768863808677587)","(-0.00033681391505524516, -0.00043789148912765086)","(0.0, 0.0)",unstable,False
0,"(0.8374992124325047, 1.2035263454587435)","(0.9925940632820129, 1.0043246746063232)","(1.0, 1.0)",unstable,False
0,"(0.11564536727517462, 0.039582311718439185)","(0.0015780240064486861, 0.0008234493434429169)","(0.0, 0.0)",unstable,False
0,"(0.0606508023404052, -0.2109886708805991)","(8.030309982132167e-05, -0.003207266330718994)","(0.0, 0.0)",unstable,False
0,"(-1.0383110661419381, 0.5191095803114933)","(-0.010433721356093884, 2.0109474658966064)","(0.0, 2.0)",stable,True
0,"(-0.7230188404440252, -0.4771207834129611)","(-0.22871795296669006, -0.17338652908802032)",,,False
0,"(0.10387197770572003, 0.19736709537443406)","(0.000704970967490226, 0.0030056536197662354)","(0.0, 0.0)",unstable,False
0,"(-0.04894372584393585, -0.3553122771152541)","(-0.0027908682823181152, -0.07521043717861176)","(0.0, 0.0)",unstable,False
0,"(0.3466783132940209, -0.21073830042337366)","(0.002700501587241888, -0.0016653507482260466)","(0.0, 0.0)",unstable,False
0,"(-0.09212356627309362, 0.0724888512249166)","(-0.0010685831075534225, 0.0012083097826689482)","(0.0, 0.0)",unstable,False
