,"(x0, y0)",converged to,closest fp,stability,success
0,"(-0.8049909328928948, 0.2137918544019049)","(0.9268274307250977, 1.0542371273040771)","(1.0, 1.0)",unstable,False
0,"(0.4821561973260824, 0.6168100959725016)","(0.0001317918358836323, 1.9974298477172852)","(0.0, 2.0)",stable,True
0,"(-0.9822688669366985, -0.3135698991911185)","(-0.3155469000339508, -0.0466812327504158)",,,False
0,"(-0.6908207375857689, -0.09978280895060052)","(-0.12801453471183777, 0.04626559093594551)",,,False
0,"(0.26206130407221234, -1.0794135113783574)","(-0.021057147532701492, 2.018031597137451)","(0.0, 2.0)",stable,False
0,"(0.061628024802206936, -0.672507290848895)","(0.0006183028453961015, 2.0054709911346436)","(0.0, 2.0)",stable,False
0,"(-0.6618679519071168, -0.02302103326296487)","(-0.1306188404560089, 0.07131115347146988)",,,False
0,"(0.30997950684347253, -0.2865519747340425)","(0.0035061300732195377, 1.9972490072250366)","(0.0, 2.0)",stable,False
0,"(0.5130520963628797, 0.6353371613671192)","(-0.001113247824832797, 1.9975277185440063)","(0.0, 2.0)",stable,True
0,"(-0.3413644715811703, -0.35016003511063637)","(-0.06280960887670517, -0.10150554031133652)",,,False
0,"(0.7249679275280909, 0.502852069312285)","(1.1067745685577393, 0.9268038868904114)",,,False
0,"(0.7644984717891037, -0.06209244125374932)","(2.466186046600342, 0.19875404238700867)",,,False
0,"(0.5709262605744563, 0.07066773401170909)","(1.0897693634033203, 0.936688244342804)","(1.0, 1.0)",unstable,False
0,"(-0.5235478697817557, 0.4650512417966959)","(-0.019346510991454124, 2.019258975982666)","(0.0, 2.0)",stable,True
0,"(-0.8727108364979008, 0.09629559837081789)","(1.0695736408233643, 0.9563957452774048)","(1.0, 1.0)",unstable,False
0,"(-0.08580824863981724, 0.09674116103524401)","(0.0005267664673738182, 1.998792290687561)","(0.0, 2.0)",stable,True
0,"(0.22859556498268033, 0.26729605036011905)","(0.5662541389465332, 1.341245412826538)",,,False
0,"(0.7884888562668313, -0.19502498846686184)","(2.999345302581787, -0.0005965590244159102)","(3.0, 0.0)",stable,True
0,"(0.21162532344726073, 0.9668790023448793)","(-0.00011259317398071289, 1.9999780654907227)","(0.0, 2.0)",stable,True
0,"(0.5715258946059282, -0.1417146456578657)","(1.8269386291503906, 0.5086777806282043)",,,False
0,"(-0.45154793161247414, -0.2800437003889839)","(-0.07397522032260895, 0.06750988960266113)","(0.0, 0.0)",unstable,False
0,"(0.1503813585268369, -0.7728603203474899)","(0.003043395234271884, 1.989885687828064)","(0.0, 2.0)",stable,False
0,"(-0.38547454949117366, 0.5678047746696073)","(0.7721061706542969, 1.1695138216018677)",,,False
0,"(0.5122575451032098, 0.3255362960365781)","(1.2239704132080078, 0.8504816889762878)",,,False
0,"(0.5911695542881403, 0.20326659359408783)","(1.1761200428009033, 0.8888169527053833)",,,False
0,"(0.4493763464247423, 0.6612870116312116)","(5.5295229685725644e-05, 2.000357151031494)","(0.0, 2.0)",stable,True
0,"(0.7917788966450368, -0.7028787132614522)","(2.996253252029419, 0.0001742243766784668)","(3.0, 0.0)",stable,True
0,"(-0.18333521258659627, -0.03888187983677192)","(-0.01573493517935276, 0.0017919741803780198)","(0.0, 0.0)",unstable,False
0,"(0.8049284320003555, 1.0564762435030421)","(0.00047725439071655273, 2.0005507469177246)","(0.0, 2.0)",stable,True
0,"(0.11892270683511345, -0.02524841524062662)","(0.001605620956979692, 1.9940602779388428)","(0.0, 2.0)",stable,False
0,"(-0.08318074142236354, -0.005170204988981523)","(-0.004036062862724066, 0.017278607934713364)","(0.0, 0.0)",unstable,False
0,"(0.06932852738315962, 0.8647628712945086)","(0.0009814382065087557, 2.0015273094177246)","(0.0, 2.0)",stable,True
0,"(-0.12110049861123552, -0.5863738817128114)","(-0.01677609235048294, -0.17982344329357147)",,,False
0,"(0.2654127932857373, 0.32496671327353277)","(0.5555350184440613, 1.351383090019226)",,,False
0,"(-0.5465042871865657, -0.31702928489111293)","(-0.1261809766292572, 0.03571624308824539)",,,False
0,"(-0.4304601106252215, -0.6798847939608834)","(-0.10535573959350586, -0.2610192894935608)",,,False
0,"(1.0140976950793066, -0.3547391655689882)","(2.9987082481384277, -0.00021472573280334473)","(3.0, 0.0)",stable,True
0,"(0.5091811127258825, -0.6876815217761303)","(2.9968886375427246, 0.001476371311582625)","(3.0, 0.0)",stable,True
0,"(0.8332753235959703, 0.23647884639272015)","(2.9923129081726074, 0.010071912780404091)","(3.0, 0.0)",stable,False
0,"(0.33861665111292777, 0.7854067691915457)","(8.181333396350965e-05, 2.000014543533325)","(0.0, 2.0)",stable,True
0,"(-0.7891499165261943, -0.0224255249172919)","(-0.12841124832630157, 0.1857389509677887)",,,False
0,"(0.42252921407776944, 0.06741731541677227)","(1.156158685684204, 0.9013551473617554)",,,False
0,"(0.36056941890606925, 0.04860094460680658)","(1.0351918935775757, 0.9747363328933716)","(1.0, 1.0)",unstable,False
0,"(-0.40293270376667, -0.369682421554376)","(-0.07428999245166779, -0.10484693199396133)",,,False
0,"(-0.6387724775451747, 0.1480296779407424)","(1.0876792669296265, 0.9575700759887695)","(1.0, 1.0)",unstable,False
0,"(0.05458407003498459, 0.1764097997327753)","(-0.00015526264905929565, 1.998809576034546)","(0.0, 2.0)",stable,True
0,"(0.5952922451240169, 0.2757240700226013)","(1.2361780405044556, 0.8442862629890442)",,,False
0,"(0.22578128801461506, 0.2897657344405251)","(0.33331936597824097, 1.5629395246505737)",,,False
0,"(-0.021231074323583076, 0.2830710029878814)","(2.0751938819885254, 0.3791709840297699)",,,False
0,"(-0.003934657221131277, 0.20224329338786448)","(3.0640514125934715e-08, 1.9993655681610107)","(0.0, 2.0)",stable,True
0,"(0.1950090671071052, 1.2137918544019048)","(-8.48621129989624e-05, 1.9988744258880615)","(0.0, 2.0)",stable,True
0,"(1.4821561973260824, 1.6168100959725016)","(0.0015699624782428145, 2.0017142295837402)","(0.0, 2.0)",stable,True
0,"(0.01773113306330154, 0.6864301008088816)","(0.7997161149978638, 1.1534353494644165)",,,False
0,"(0.3091792624142311, 0.9002171910493995)","(-0.0006157279131002724, 2.001908540725708)","(0.0, 2.0)",stable,True
0,"(1.2620613040722124, -0.0794135113783574)","(2.9990615844726562, 0.0004275396349839866)","(3.0, 0.0)",stable,True
0,"(1.061628024802207, 0.32749270915110495)","(1.391552209854126, 0.747819185256958)",,,False
0,"(0.3381320480928832, 0.9769789667370351)","(5.918741408095229e-06, 1.9998743534088135)","(0.0, 2.0)",stable,True
0,"(1.3099795068434725, 0.7134480252659575)","(2.9989922046661377, 0.0001506805419921875)","(3.0, 0.0)",stable,True
0,"(1.5130520963628797, 1.635337161367119)","(0.0019266128074377775, 1.999495506286621)","(0.0, 2.0)",stable,True
0,"(0.6586355284188297, 0.6498399648893636)","(0.925071120262146, 1.0534303188323975)","(1.0, 1.0)",unstable,False
0,"(1.724967927528091, 1.502852069312285)","(0.0021289349533617496, 1.9994739294052124)","(0.0, 2.0)",stable,True
0,"(1.7644984717891037, 0.9379075587462506)","(2.9998369216918945, -0.00048584939213469625)","(3.0, 0.0)",stable,True
0,"(1.5709262605744563, 1.070667734011709)","(1.1113426685333252, 0.9219986796379089)",,,False
0,"(0.4764521302182443, 1.4650512417966959)","(-0.000572764896787703, 2.0009307861328125)","(0.0, 2.0)",stable,True
0,"(0.12728916350209918, 1.0962955983708178)","(-3.4362077713012695e-05, 2.0003464221954346)","(0.0, 2.0)",stable,True
0,"(0.9141917513601827, 1.096741161035244)","(0.0014701604377478361, 1.9982703924179077)","(0.0, 2.0)",stable,True
0,"(1.2285955649826803, 1.2672960503601192)","(-0.00034208298893645406, 1.9994693994522095)","(0.0, 2.0)",stable,True
0,"(1.7884888562668313, 0.8049750115331382)","(2.9997406005859375, 0.000152587890625)","(3.0, 0.0)",stable,True
0,"(1.2116253234472607, 1.9668790023448794)","(-0.0015100002055987716, 2.0002546310424805)","(0.0, 2.0)",stable,True
0,"(1.5715258946059283, 0.8582853543421343)","(3.0000007152557373, -5.899667667108588e-05)","(3.0, 0.0)",stable,True
0,"(0.5484520683875258, 0.719956299611016)","(0.0003837585391011089, 1.9992529153823853)","(0.0, 2.0)",stable,True
0,"(1.150381358526837, 0.22713967965251014)","(2.538417100906372, 0.1706302911043167)",,,False
0,"(0.6145254505088263, 1.5678047746696073)","(-0.0001915454922709614, 1.9999980926513672)","(0.0, 2.0)",stable,True
0,"(1.5122575451032096, 1.325536296036578)","(0.09191720187664032, 1.851746916770935)",,,False
0,"(1.5911695542881403, 1.2032665935940878)","(1.1160377264022827, 0.9193811416625977)",,,False
0,"(1.4493763464247422, 1.6612870116312117)","(-0.0011715650325641036, 1.9998257160186768)","(0.0, 2.0)",stable,True
0,"(1.7917788966450368, 0.29712128673854776)","(2.9996418952941895, -2.5439261662540957e-05)","(3.0, 0.0)",stable,True
0,"(0.8166647874134038, 0.9611181201632281)","(0.0004987597349099815, 1.9997669458389282)","(0.0, 2.0)",stable,True
0,"(1.8049284320003554, 2.056476243503042)","(0.0008144378662109375, 2.000213623046875)","(0.0, 2.0)",stable,True
0,"(1.1189227068351135, 0.9747515847593734)","(1.0000211000442505, 0.999875545501709)","(1.0, 1.0)",unstable,False
0,"(0.9168192585776365, 0.9948297950110184)","(-0.0004375457647256553, 2.0004470348358154)","(0.0, 2.0)",stable,True
0,"(1.0693285273831596, 1.8647628712945086)","(-0.0004293203237466514, 1.9999862909317017)","(0.0, 2.0)",stable,True
0,"(0.8788995013887645, 0.41362611828718865)","(2.2112016677856445, 0.311215341091156)",,,False
0,"(1.2654127932857373, 1.3249667132735328)","(-0.0030539273284375668, 2.0001659393310547)","(0.0, 2.0)",stable,True
0,"(0.45349571281343426, 0.6829707151088871)","(0.00018347501463722438, 2.0005035400390625)","(0.0, 2.0)",stable,True
0,"(0.5695398893747785, 0.3201152060391166)","(1.0788272619247437, 0.9489158391952515)","(1.0, 1.0)",unstable,False
0,"(2.0140976950793066, 0.6452608344310118)","(2.999793291091919, 0.0001589059829711914)","(3.0, 0.0)",stable,True
0,"(1.5091811127258825, 0.3123184782238697)","(3.001660108566284, 0.0005873859045095742)","(3.0, 0.0)",stable,True
0,"(1.8332753235959705, 1.23647884639272)","(1.0609208345413208, 0.957330048084259)","(1.0, 1.0)",unstable,False
0,"(1.3386166511129278, 1.7854067691915456)","(0.0018399953842163086, 1.9980361461639404)","(0.0, 2.0)",stable,True
0,"(0.21085008347380574, 0.9775744750827081)","(-0.00011897981312358752, 1.9997371435165405)","(0.0, 2.0)",stable,True
0,"(1.4225292140777694, 1.0674173154167723)","(3.0001723766326904, -0.000556302082259208)","(3.0, 0.0)",stable,True
0,"(1.3605694189060693, 1.0486009446068065)","(2.998263120651245, -0.00021109581575728953)","(3.0, 0.0)",stable,True
0,"(0.59706729623333, 0.6303175784456241)","(0.8549339175224304, 1.109167456626892)",,,False
0,"(0.36122752245482526, 1.1480296779407424)","(-0.00012145638174843043, 2.0001139640808105)","(0.0, 2.0)",stable,True
0,"(1.0545840700349847, 1.1764097997327754)","(-0.0012451171642169356, 2.0007946491241455)","(0.0, 2.0)",stable,True
0,"(1.5952922451240168, 1.2757240700226014)","(1.0388984680175781, 0.9717019200325012)","(1.0, 1.0)",unstable,False
0,"(1.225781288014615, 1.2897657344405251)","(1.0466575986356474e-05, 1.9996402263641357)","(0.0, 2.0)",stable,True
0,"(0.9787689256764169, 1.2830710029878813)","(0.0007791995885781944, 1.9994795322418213)","(0.0, 2.0)",stable,True
0,"(0.9960653427788687, 1.2022432933878644)","(-4.301071021473035e-05, 1.9994999170303345)","(0.0, 2.0)",stable,True
0,"(-0.8049909328928948, 2.213791854401905)","(-0.0007858753087930381, 2.000265598297119)","(0.0, 2.0)",stable,True
0,"(0.4821561973260824, 2.6168100959725016)","(0.0009599804761819541, 2.0013954639434814)","(0.0, 2.0)",stable,True
0,"(-0.9822688669366985, 1.6864301008088816)","(-0.0002648472727742046, 2.0001187324523926)","(0.0, 2.0)",stable,True
0,"(-0.6908207375857689, 1.9002171910493995)","(-0.0002144098252756521, 1.9999061822891235)","(0.0, 2.0)",stable,True
0,"(0.26206130407221234, 0.9205864886216426)","(-0.00034731029882095754, 2.000406503677368)","(0.0, 2.0)",stable,True
0,"(0.061628024802206936, 1.3274927091511048)","(-4.469454142963514e-05, 1.9996942281723022)","(0.0, 2.0)",stable,True
0,"(-0.6618679519071168, 1.9769789667370352)","(-5.4883956181583926e-05, 2.0004448890686035)","(0.0, 2.0)",stable,True
0,"(0.30997950684347253, 1.7134480252659574)","(5.8913232351187617e-05, 1.9999183416366577)","(0.0, 2.0)",stable,True
0,"(0.5130520963628797, 2.635337161367119)","(0.0002188444195780903, 1.998940110206604)","(0.0, 2.0)",stable,True
0,"(-0.3413644715811703, 1.6498399648893636)","(-0.00031610726728104055, 1.9995801448822021)","(0.0, 2.0)",stable,True
0,"(0.7249679275280909, 2.502852069312285)","(-0.0010625958675518632, 1.9992637634277344)","(0.0, 2.0)",stable,True
0,"(0.7644984717891037, 1.9379075587462506)","(-0.00028531550196930766, 1.999805212020874)","(0.0, 2.0)",stable,True
0,"(0.5709262605744563, 2.070667734011709)","(-0.0002855420170817524, 1.999733328819275)","(0.0, 2.0)",stable,True
0,"(-0.5235478697817557, 2.465051241796696)","(-0.00022839308076072484, 1.9999780654907227)","(0.0, 2.0)",stable,True
0,"(-0.8727108364979008, 2.096295598370818)","(0.000818359840195626, 2.000030040740967)","(0.0, 2.0)",stable,True
0,"(-0.08580824863981724, 2.096741161035244)","(0.00013233572826720774, 1.9999021291732788)","(0.0, 2.0)",stable,True
0,"(0.22859556498268033, 2.267296050360119)","(-0.0004919737693853676, 1.9994771480560303)","(0.0, 2.0)",stable,True
0,"(0.7884888562668313, 1.8049750115331382)","(-0.0005569696659222245, 1.9998878240585327)","(0.0, 2.0)",stable,True
0,"(0.21162532344726073, 2.9668790023448794)","(-0.0004992097383365035, 1.9992485046386719)","(0.0, 2.0)",stable,True
0,"(0.5715258946059282, 1.8582853543421343)","(0.00032215117244049907, 1.9999744892120361)","(0.0, 2.0)",stable,True
0,"(-0.45154793161247414, 1.719956299611016)","(-0.0016358256107196212, 1.9989341497421265)","(0.0, 2.0)",stable,True
0,"(0.1503813585268369, 1.22713967965251)","(0.00024753808975219727, 2.0002925395965576)","(0.0, 2.0)",stable,True
0,"(-0.38547454949117366, 2.5678047746696073)","(-0.00013214349746704102, 1.9999563694000244)","(0.0, 2.0)",stable,True
0,"(0.5122575451032098, 2.325536296036578)","(0.0020208717323839664, 2.0015408992767334)","(0.0, 2.0)",stable,True
0,"(0.5911695542881403, 2.203266593594088)","(0.00016564130783081055, 1.9999573230743408)","(0.0, 2.0)",stable,True
0,"(0.4493763464247423, 2.6612870116312117)","(-0.0021989704109728336, 1.9944274425506592)","(0.0, 2.0)",stable,True
0,"(0.7917788966450368, 1.2971212867385478)","(0.0002401709498371929, 1.9999853372573853)","(0.0, 2.0)",stable,True
0,"(-0.18333521258659627, 1.9611181201632282)","(-1.5708803402958438e-05, 1.9998493194580078)","(0.0, 2.0)",stable,True
0,"(0.8049284320003555, 3.056476243503042)","(0.8414530754089355, 1.109422206878662)",,,False
0,"(0.11892270683511345, 1.9747515847593733)","(-7.286369509529322e-05, 2.0000808238983154)","(0.0, 2.0)",stable,True
0,"(-0.08318074142236354, 1.9948297950110185)","(-4.597306178766303e-05, 1.999972939491272)","(0.0, 2.0)",stable,True
0,"(0.06932852738315962, 2.8647628712945084)","(0.0013393163681030273, 1.9948076009750366)","(0.0, 2.0)",stable,True
0,"(-0.12110049861123552, 1.4136261182871888)","(0.00026858149794861674, 2.0009419918060303)","(0.0, 2.0)",stable,True
0,"(0.2654127932857373, 2.3249667132735325)","(-0.00013097524060867727, 1.9996960163116455)","(0.0, 2.0)",stable,True
0,"(-0.5465042871865657, 1.682970715108887)","(-0.0011038065422326326, 1.9994409084320068)","(0.0, 2.0)",stable,True
0,"(-0.4304601106252215, 1.3201152060391166)","(-0.0001974582701222971, 1.9994150400161743)","(0.0, 2.0)",stable,True
0,"(1.0140976950793066, 1.6452608344310118)","(-0.0005218267324380577, 1.999841332435608)","(0.0, 2.0)",stable,True
0,"(0.5091811127258825, 1.3123184782238697)","(-0.00033327340497635305, 2.0006320476531982)","(0.0, 2.0)",stable,True
0,"(0.8332753235959703, 2.2364788463927203)","(-0.0002225637435913086, 1.9993581771850586)","(0.0, 2.0)",stable,True
0,"(0.33861665111292777, 2.7854067691915456)","(0.000331944233039394, 2.0012307167053223)","(0.0, 2.0)",stable,True
0,"(-0.7891499165261943, 1.977574475082708)","(1.2505054655775893e-05, 2.000164747238159)","(0.0, 2.0)",stable,True
0,"(0.42252921407776944, 2.067417315416772)","(-0.0020392299629747868, 1.9998877048492432)","(0.0, 2.0)",stable,True
0,"(0.36056941890606925, 2.0486009446068065)","(-0.0009035646799020469, 1.9995988607406616)","(0.0, 2.0)",stable,True
0,"(-0.40293270376667, 1.630317578445624)","(-0.00017983317957259715, 1.9995954036712646)","(0.0, 2.0)",stable,True
0,"(-0.6387724775451747, 2.1480296779407424)","(0.004989564418792725, 2.0007681846618652)","(0.0, 2.0)",stable,True
0,"(0.05458407003498459, 2.176409799732775)","(-3.802999708568677e-05, 1.9997889995574951)","(0.0, 2.0)",stable,True
0,"(0.5952922451240169, 2.2757240700226014)","(-0.00021579265012405813, 1.9999828338623047)","(0.0, 2.0)",stable,True
0,"(0.22578128801461506, 2.2897657344405253)","(0.00042710601701401174, 2.0003719329833984)","(0.0, 2.0)",stable,True
0,"(-0.021231074323583076, 2.2830710029878816)","(3.925561759388074e-05, 2.000235080718994)","(0.0, 2.0)",stable,True
0,"(-0.003934657221131277, 2.2022432933878644)","(-0.00020257840515114367, 1.9988677501678467)","(0.0, 2.0)",stable,True
0,"(2.1950090671071054, 0.2137918544019049)","(2.9995687007904053, 0.00014938115782570094)","(3.0, 0.0)",stable,True
0,"(3.4821561973260824, 0.6168100959725016)","(2.998201847076416, -0.00014710426330566406)","(3.0, 0.0)",stable,True
0,"(2.0177311330633017, -0.3135698991911185)","(2.9991087913513184, -0.0013131201267242432)","(3.0, 0.0)",stable,True
0,"(2.309179262414231, -0.09978280895060052)","(3.0002834796905518, -9.21785795071628e-06)","(3.0, 0.0)",stable,True
0,"(3.2620613040722124, -1.0794135113783574)","(3.0050806999206543, -0.0038912296295166016)","(3.0, 0.0)",stable,True
0,"(3.0616280248022067, -0.672507290848895)","(3.000006675720215, -8.283853821922094e-05)","(3.0, 0.0)",stable,True
0,"(2.3381320480928833, -0.02302103326296487)","(3.0001702308654785, -9.82973724603653e-05)","(3.0, 0.0)",stable,True
0,"(3.3099795068434723, -0.2865519747340425)","(3.000073194503784, 0.0001031875581247732)","(3.0, 0.0)",stable,True
0,"(3.5130520963628795, 0.6353371613671192)","(3.004620313644409, 0.0011049151653423905)","(3.0, 0.0)",stable,True
0,"(2.65863552841883, -0.35016003511063637)","(2.999565362930298, 0.0007800638559274375)","(3.0, 0.0)",stable,True
0,"(3.724967927528091, 0.502852069312285)","(1.1842294931411743, 0.8777170181274414)",,,False
0,"(3.7644984717891035, -0.06209244125374932)","(2.999957323074341, -5.870610402780585e-05)","(3.0, 0.0)",stable,True
0,"(3.5709262605744563, 0.07066773401170909)","(2.998492479324341, -6.34416937828064e-05)","(3.0, 0.0)",stable,True
0,"(2.4764521302182443, 0.4650512417966959)","(2.999818801879883, -0.0002496123197488487)","(3.0, 0.0)",stable,True
0,"(2.127289163502099, 0.09629559837081789)","(2.999882936477661, 5.194246841710992e-05)","(3.0, 0.0)",stable,True
0,"(2.9141917513601827, 0.09674116103524401)","(3.000098705291748, -0.00021903515153098851)","(3.0, 0.0)",stable,True
0,"(3.2285955649826805, 0.26729605036011905)","(3.000047206878662, -0.00028014779672957957)","(3.0, 0.0)",stable,True
0,"(3.7884888562668313, -0.19502498846686184)","(3.000006914138794, -2.3645163309993222e-05)","(3.0, 0.0)",stable,True
0,"(3.2116253234472607, 0.9668790023448793)","(1.0437228679656982, 0.9643607139587402)","(1.0, 1.0)",unstable,False
0,"(3.5715258946059283, -0.1417146456578657)","(2.995455503463745, 0.0009930909145623446)","(3.0, 0.0)",stable,True
0,"(2.548452068387526, -0.2800437003889839)","(3.0004234313964844, 0.00016754269017837942)","(3.0, 0.0)",stable,True
0,"(3.150381358526837, -0.7728603203474899)","(3.0002102851867676, -0.00012325048737693578)","(3.0, 0.0)",stable,True
0,"(2.6145254505088262, 0.5678047746696073)","(2.9987680912017822, -0.0006465196493081748)","(3.0, 0.0)",stable,True
0,"(3.5122575451032096, 0.3255362960365781)","(2.9937148094177246, 0.0036021769046783447)","(3.0, 0.0)",stable,True
0,"(3.5911695542881406, 0.20326659359408783)","(2.9986889362335205, -0.0003581434430088848)","(3.0, 0.0)",stable,True
0,"(3.4493763464247422, 0.6612870116312116)","(2.4883360862731934, 0.19275328516960144)",,,False
0,"(3.7917788966450368, -0.7028787132614522)","(3.0000510215759277, -0.0002490878105163574)","(3.0, 0.0)",stable,True
0,"(2.8166647874134036, -0.03888187983677192)","(2.9997165203094482, 8.01086389401462e-06)","(3.0, 0.0)",stable,True
0,"(3.8049284320003554, 1.0564762435030421)","(3.000401735305786, -0.0011106014717370272)","(3.0, 0.0)",stable,True
0,"(3.1189227068351135, -0.02524841524062662)","(3.0000994205474854, -7.123015529941767e-05)","(3.0, 0.0)",stable,True
0,"(2.9168192585776365, -0.005170204988981523)","(3.00010347366333, -0.00011018011718988419)","(3.0, 0.0)",stable,True
0,"(3.0693285273831594, 0.8647628712945086)","(2.961108922958374, 0.0025429963134229183)","(3.0, 0.0)",stable,False
0,"(2.8788995013887644, -0.5863738817128114)","(2.999851703643799, 0.0003666520060505718)","(3.0, 0.0)",stable,True
0,"(3.265412793285737, 0.32496671327353277)","(2.997633695602417, -0.0014974654186517)","(3.0, 0.0)",stable,True
0,"(2.4534957128134343, -0.31702928489111293)","(3.000354051589966, 0.00015103816986083984)","(3.0, 0.0)",stable,True
0,"(2.5695398893747785, -0.6798847939608834)","(2.999202013015747, 0.00016076564497780055)","(3.0, 0.0)",stable,True
0,"(4.014097695079307, -0.3547391655689882)","(3.000605344772339, -0.0001648783654673025)","(3.0, 0.0)",stable,True
0,"(3.5091811127258827, -0.6876815217761303)","(3.000535488128662, 0.0005654811975546181)","(3.0, 0.0)",stable,True
0,"(3.8332753235959705, 0.23647884639272015)","(2.6880178451538086, 0.10230499505996704)",,,False
0,"(3.3386166511129276, 0.7854067691915457)","(2.159573793411255, 0.33474668860435486)",,,False
0,"(2.210850083473806, -0.0224255249172919)","(2.9965574741363525, 0.00011825487308669835)","(3.0, 0.0)",stable,True
0,"(3.4225292140777697, 0.06741731541677227)","(2.999174118041992, -0.00014022589311935008)","(3.0, 0.0)",stable,True
0,"(3.3605694189060693, 0.04860094460680658)","(2.9999759197235107, 0.00010484903759788722)","(3.0, 0.0)",stable,True
0,"(2.59706729623333, -0.369682421554376)","(2.996875047683716, -0.0006337881204672158)","(3.0, 0.0)",stable,True
0,"(2.361227522454825, 0.1480296779407424)","(2.9994328022003174, 2.835690975189209e-05)","(3.0, 0.0)",stable,True
