,"(x0, y0)",converged to,closest fp,stability,success
0,"(0.3337297276843456, -0.7254401681834463)","(-0.0002970278146676719, 1.9968544244766235)","(0.0, 2.0)",stable,False
0,"(0.17110949163060038, 0.3891592624172857)","(0.0001102209062082693, 0.00018133521371055394)","(0.0, 0.0)",unstable,False
0,"(-0.9316426952173674, 0.07562441886018266)","(0.9757519960403442, 1.0169719457626343)","(1.0, 1.0)",unstable,False
0,"(0.3552473081672652, 0.7934792974823692)","(0.26516905426979065, 1.6364185810089111)",,,False
0,"(-0.15709054606145811, 0.4763448169993564)","(-0.0015364378923550248, 0.0033450783230364323)","(0.0, 0.0)",unstable,False
0,"(-0.25293365187408057, -0.21247790597866797)","(-0.03909676522016525, -0.05447336286306381)","(0.0, 0.0)",unstable,False
0,"(0.8178213587896507, -0.9435541336483884)","(2.9976646900177, 7.16328650014475e-05)","(3.0, 0.0)",stable,True
0,"(0.5602521913436753, 0.37625720940024143)","(2.6975183486938477, 0.1101442351937294)",,,False
0,"(0.7308670696518796, 0.03529960388440797)","(0.0067234160378575325, -0.0015915706753730774)","(0.0, 0.0)",unstable,False
0,"(-0.25528025809894084, -0.3202813007957742)","(-0.04195433109998703, -0.09063366800546646)","(0.0, 0.0)",unstable,False
0,"(0.7097123769366229, 0.05643709341261529)","(3.002652406692505, -0.001196064054965973)","(3.0, 0.0)",stable,True
0,"(0.18395815113372052, 0.9988053008969021)","(-0.0014867514837533236, 2.0025432109832764)","(0.0, 2.0)",stable,True
0,"(0.28334763056799517, -0.17215741964991724)","(0.0033560036681592464, -0.002300271298736334)","(0.0, 0.0)",unstable,False
0,"(0.39195512665857124, 0.010547861252052463)","(0.0009010374778881669, -0.0011000180384144187)","(0.0, 0.0)",unstable,False
0,"(-0.260360912532387, 0.04717260110148329)","(-0.0023845494724810123, -0.0003159843327011913)","(0.0, 0.0)",unstable,False
0,"(-0.13592884353494913, 0.005640654707269635)","(-0.007705813739448786, 0.0014725688379257917)","(0.0, 0.0)",unstable,False
0,"(-0.288054966474206, -0.09456847773447669)","(-0.03991604968905449, -0.019020024687051773)","(0.0, 0.0)",unstable,False
0,"(-0.521623036870627, 0.3767282235338902)","(-0.0029327869415283203, 0.0019689141772687435)","(0.0, 0.0)",unstable,False
0,"(-0.9003255950872543, 0.8570014786552949)","(0.0003201603831257671, 1.9987423419952393)","(0.0, 2.0)",stable,True
0,"(0.5919179514086761, -0.31988636588028335)","(0.005035281181335449, -0.004722237586975098)","(0.0, 0.0)",unstable,False
0,"(0.03791869731670454, -0.05703704181651995)","(-3.449022915447131e-05, -0.0007110655424185097)","(0.0, 0.0)",unstable,False
0,"(-0.29535457330160075, 0.24457652411528968)","(-0.0012385010486468673, 0.0017139107221737504)","(0.0, 0.0)",unstable,False
0,"(0.5736021598762411, 0.5852006524895691)","(2.1595733165740967, 0.3342341482639313)",,,False
0,"(0.18973655218283594, 0.11129186352658124)","(0.0020340741612017155, 0.0014592930674552917)","(0.0, 0.0)",unstable,False
0,"(0.22084702048873686, -0.07726976615469558)","(0.0019351274240761995, -0.0017471403116360307)","(0.0, 0.0)",unstable,False
0,"(-0.34534787349307816, 0.0027659383717673226)","(-0.04299601912498474, 0.008294554427266121)","(0.0, 0.0)",unstable,False
0,"(-0.8154458707891189, -0.5566843630233399)","(-0.2616795599460602, -0.20105531811714172)",,,False
0,"(-0.5992894426629185, 0.33794523965688317)","(0.003655934240669012, 2.008772611618042)","(0.0, 2.0)",stable,True
0,"(0.5302078605510715, -0.4345814935163803)","(0.001941895461641252, -0.0013030290137976408)","(0.0, 0.0)",unstable,False
0,"(-0.4791438844384202, 1.4301753706685252)","(0.00010674595978343859, 2.000194787979126)","(0.0, 2.0)",stable,True
0,"(0.09076527343836295, 0.7841827423478561)","(2.4691223643458216e-06, 1.9997485876083374)","(0.0, 2.0)",stable,True
0,"(-0.21720024100168114, 0.2057721271869846)","(-0.0021580755710601807, 0.0013439655303955078)","(0.0, 0.0)",unstable,False
0,"(0.4403672344391589, 0.7896476391883415)","(0.733389675617218, 1.1984612941741943)",,,False
0,"(0.22440796977973715, 0.05226264340267761)","(0.002632030751556158, -0.00028078333707526326)","(0.0, 0.0)",unstable,False
0,"(-0.8816483803821903, -0.09552473088542739)","(-0.2546308636665344, 0.0654461607336998)",,,False
0,"(0.12216569176572695, -0.19737799673286635)","(0.002002452267333865, -0.0019735663663595915)","(0.0, 0.0)",unstable,False
0,"(0.08582399526756566, -0.10723735376482284)","(9.897649579215795e-05, -0.0004105597618035972)","(0.0, 0.0)",unstable,False
0,"(-0.10769977622563766, -0.25682733075929487)","(-0.010748252272605896, -0.0554039366543293)","(0.0, 0.0)",unstable,False
0,"(0.5368466734802915, 0.15272357077755894)","(0.0019786476623266935, -0.0003213405725546181)","(0.0, 0.0)",unstable,False
0,"(-0.4095209959327447, -0.14920283603680837)","(-0.07270987331867218, -0.03364062309265137)","(0.0, 0.0)",unstable,False
0,"(-0.16766963680974542, -0.8332340019572173)","(-0.021368231624364853, -0.300551176071167)",,,False
0,"(0.36589121157510374, -0.025213941679956147)","(0.00451168417930603, -0.0007471356657333672)","(0.0, 0.0)",unstable,False
0,"(0.27530908591728614, -1.0648805427985302)","(0.0009621322387829423, 1.9947702884674072)","(0.0, 2.0)",stable,False
0,"(-0.08945020408376848, 0.3893822963121397)","(-0.0008453130722045898, 0.0013045966625213623)","(0.0, 0.0)",unstable,False
0,"(-0.3806262963573465, 0.43283891587590234)","(0.00014796853065490723, 0.00040261150570586324)","(0.0, 0.0)",unstable,False
0,"(-0.020482585636255993, -0.10960496177167052)","(-0.0009870275389403105, -0.011142085306346416)","(0.0, 0.0)",unstable,False
0,"(0.8232311068627115, -0.8948556586483721)","(3.001044750213623, -0.0012325048446655273)","(3.0, 0.0)",stable,True
0,"(-0.23891871689260225, 0.19033110564800929)","(-0.0022728026378899813, 0.0019511192804202437)","(0.0, 0.0)",unstable,False
0,"(-0.5466846672159963, -0.15942397739158504)","(-0.11242564022541046, -0.020337488502264023)",,,False
0,"(-0.26281212340120236, -1.3628430006237613)","(-0.03092484176158905, -0.5994788408279419)",,,False
0,"(0.1950090671071052, 1.2137918544019048)","(3.872811794281006e-05, 1.9998327493667603)","(0.0, 2.0)",stable,True
