,T,x0-y0,network_architectures,activations,learning_rates,collocations,epochs,regularization,reg_epochs,reg_coeff,eps,reg_decay,"(0.0, 0.0)","(1.0, 1.0)","(0.0, 2.0)","(3.0, 0.0)",mean_loss,loss_successes_percent
0,14,"(0.1, 0.0)","(4, 50)",swish,0.001,1024,25000,no_reg,0.5,1.0,0.01,linear,10,0,0,0,4.030119132995606,0.0
0,14,"(0.1, 0.0)","(4, 50)",swish,0.001,1024,25000,reg_derivative_unstable_fp,0.5,1.0,0.01,linear,0,1,0,0,2.524639368057251,0.0
0,14,"(0.5, 0.0)","(4, 50)",swish,0.001,1024,25000,no_reg,0.5,1.0,0.01,linear,10,0,0,0,4.206578588485717,0.0
0,14,"(0.5, 0.0)","(4, 50)",swish,0.001,1024,25000,reg_derivative_unstable_fp,0.5,1.0,0.01,linear,0,0,0,7,0.5796741247184685,0.7
0,14,"(1.0, 1.1)","(4, 50)",swish,0.001,1024,25000,no_reg,0.5,1.0,0.01,linear,0,0,8,0,0.05591540999572473,0.8
0,14,"(1.0, 1.1)","(4, 50)",swish,0.001,1024,25000,reg_derivative_unstable_fp,0.5,1.0,0.01,linear,0,0,10,0,3.0962108663601386e-07,1.0
0,14,"(1.1, 1.0)","(4, 50)",swish,0.001,1024,25000,no_reg,0.5,1.0,0.01,linear,0,0,0,0,0.6171588897705078,0.0
0,14,"(1.1, 1.0)","(4, 50)",swish,0.001,1024,25000,reg_derivative_unstable_fp,0.5,1.0,0.01,linear,0,3,0,0,0.6708372116088868,0.0
0,14,"(1.1, 1.1)","(4, 50)",swish,0.001,1024,25000,no_reg,0.5,1.0,0.01,linear,0,10,0,0,0.2910030037164688,0.0
0,14,"(1.1, 1.1)","(4, 50)",swish,0.001,1024,25000,reg_derivative_unstable_fp,0.5,1.0,0.01,linear,0,0,10,0,2.5531309020720984e-06,1.0
0,14,"(1.5, 1.5)","(4, 50)",swish,0.001,1024,25000,no_reg,0.5,1.0,0.01,linear,9,0,1,0,1.08432490877708,0.1
0,14,"(1.5, 1.5)","(4, 50)",swish,0.001,1024,25000,reg_derivative_unstable_fp,0.5,1.0,0.01,linear,0,0,10,0,1.4570798384738738e-06,1.0
0,15,"(0.1, 0.0)","(4, 50)",swish,0.001,1024,25000,no_reg,0.5,1.0,0.01,linear,10,0,0,0,4.061003351211548,0.0
0,15,"(0.1, 0.0)","(4, 50)",swish,0.001,1024,25000,reg_derivative_unstable_fp,0.5,1.0,0.01,linear,0,0,0,0,2.7537041902542114,0.0
0,15,"(0.5, 0.0)","(4, 50)",swish,0.001,1024,25000,no_reg,0.5,1.0,0.01,linear,10,0,0,0,4.226478004455567,0.0
0,15,"(0.5, 0.0)","(4, 50)",swish,0.001,1024,25000,reg_derivative_unstable_fp,0.5,1.0,0.01,linear,0,0,0,7,0.6821048527533208,0.6
0,15,"(1.0, 1.1)","(4, 50)",swish,0.001,1024,25000,no_reg,0.5,1.0,0.01,linear,0,9,0,0,0.5105609983205796,0.0
0,15,"(1.0, 1.1)","(4, 50)",swish,0.001,1024,25000,reg_derivative_unstable_fp,0.5,1.0,0.01,linear,0,0,10,0,2.787430769757293e-07,1.0
0,15,"(1.1, 1.0)","(4, 50)",swish,0.001,1024,25000,no_reg,0.5,1.0,0.01,linear,0,10,0,0,1.10034841299057,0.0
0,15,"(1.1, 1.0)","(4, 50)",swish,0.001,1024,25000,reg_derivative_unstable_fp,0.5,1.0,0.01,linear,0,4,0,0,0.8964658677577972,0.0
0,15,"(1.1, 1.1)","(4, 50)",swish,0.001,1024,25000,no_reg,0.5,1.0,0.01,linear,0,10,0,0,0.3380509912967682,0.0
0,15,"(1.1, 1.1)","(4, 50)",swish,0.001,1024,25000,reg_derivative_unstable_fp,0.5,1.0,0.01,linear,0,0,10,0,1.1798752198899365e-05,1.0
0,15,"(1.5, 1.5)","(4, 50)",swish,0.001,1024,25000,no_reg,0.5,1.0,0.01,linear,10,0,0,0,1.238756489753723,0.0
0,15,"(1.5, 1.5)","(4, 50)",swish,0.001,1024,25000,reg_derivative_unstable_fp,0.5,1.0,0.01,linear,0,0,10,0,3.1809859052600587e-06,1.0
