,T,x0-y0,network_architectures,activations,learning_rates,collocations,epochs,regularization,reg_epochs,reg_coeff,eps,reg_decay,"(0.0, 0.0)","(1.0, 1.0)","(0.0, 2.0)","(3.0, 0.0)",mean_loss,loss_successes_percent
0,11,"(0.1, 0.0)","(4, 50)",swish,0.001,1024,25000,no_reg,0.5,1.0,0.01,linear,10,0,0,0,3.900851678848267,0.0
0,11,"(0.1, 0.0)","(4, 50)",swish,0.001,1024,25000,reg_derivative_unstable_fp,0.5,1.0,0.01,linear,0,7,0,0,2.1609004974365233,0.0
0,11,"(0.5, 0.0)","(4, 50)",swish,0.001,1024,25000,no_reg,0.5,1.0,0.01,linear,10,0,0,0,4.121809625625611,0.0
0,11,"(0.5, 0.0)","(4, 50)",swish,0.001,1024,25000,reg_derivative_unstable_fp,0.5,1.0,0.01,linear,0,0,0,10,1.2057925516728573e-06,1.0
0,11,"(1.0, 1.1)","(4, 50)",swish,0.001,1024,25000,no_reg,0.5,1.0,0.01,linear,0,0,10,0,2.811614965736453e-07,1.0
0,11,"(1.0, 1.1)","(4, 50)",swish,0.001,1024,25000,reg_derivative_unstable_fp,0.5,1.0,0.01,linear,0,0,10,0,1.1424214179101e-07,1.0
0,11,"(1.1, 1.0)","(4, 50)",swish,0.001,1024,25000,no_reg,0.5,1.0,0.01,linear,0,0,0,9,0.00024640716045496445,1.0
0,11,"(1.1, 1.0)","(4, 50)",swish,0.001,1024,25000,reg_derivative_unstable_fp,0.5,1.0,0.01,linear,0,0,0,9,0.0002996794361024513,1.0
0,11,"(1.1, 1.1)","(4, 50)",swish,0.001,1024,25000,no_reg,0.5,1.0,0.01,linear,0,0,0,0,0.0017774771525871814,1.0
0,11,"(1.1, 1.1)","(4, 50)",swish,0.001,1024,25000,reg_derivative_unstable_fp,0.5,1.0,0.01,linear,0,0,0,0,5.198346548240806e-06,1.0
0,11,"(1.5, 1.5)","(4, 50)",swish,0.001,1024,25000,no_reg,0.5,1.0,0.01,linear,10,0,0,0,0.8947694301605225,0.0
0,11,"(1.5, 1.5)","(4, 50)",swish,0.001,1024,25000,reg_derivative_unstable_fp,0.5,1.0,0.01,linear,0,0,10,0,2.1471011123708195e-06,1.0
0,12,"(0.1, 0.0)","(4, 50)",swish,0.001,1024,25000,no_reg,0.5,1.0,0.01,linear,10,0,0,0,3.951377606391907,0.0
0,12,"(0.1, 0.0)","(4, 50)",swish,0.001,1024,25000,reg_derivative_unstable_fp,0.5,1.0,0.01,linear,0,3,0,0,2.323639392852783,0.0
0,12,"(0.5, 0.0)","(4, 50)",swish,0.001,1024,25000,no_reg,0.5,1.0,0.01,linear,10,0,0,0,4.155655288696289,0.0
0,12,"(0.5, 0.0)","(4, 50)",swish,0.001,1024,25000,reg_derivative_unstable_fp,0.5,1.0,0.01,linear,0,0,0,10,2.7830669310446866e-06,1.0
0,12,"(1.0, 1.1)","(4, 50)",swish,0.001,1024,25000,no_reg,0.5,1.0,0.01,linear,0,0,10,0,1.7754204694853116e-06,1.0
0,12,"(1.0, 1.1)","(4, 50)",swish,0.001,1024,25000,reg_derivative_unstable_fp,0.5,1.0,0.01,linear,0,0,10,0,2.5351021211150736e-07,1.0
0,12,"(1.1, 1.0)","(4, 50)",swish,0.001,1024,25000,no_reg,0.5,1.0,0.01,linear,0,0,0,10,0.0004896090122201713,1.0
0,12,"(1.1, 1.0)","(4, 50)",swish,0.001,1024,25000,reg_derivative_unstable_fp,0.5,1.0,0.01,linear,0,0,0,8,0.047653471845478634,0.8
0,12,"(1.1, 1.1)","(4, 50)",swish,0.001,1024,25000,no_reg,0.5,1.0,0.01,linear,0,0,0,0,0.039802252445952035,0.3
0,12,"(1.1, 1.1)","(4, 50)",swish,0.001,1024,25000,reg_derivative_unstable_fp,0.5,1.0,0.01,linear,0,0,5,0,1.9184801055338596e-05,1.0
0,12,"(1.5, 1.5)","(4, 50)",swish,0.001,1024,25000,no_reg,0.5,1.0,0.01,linear,10,0,0,0,1.0145933270454406,0.0
0,12,"(1.5, 1.5)","(4, 50)",swish,0.001,1024,25000,reg_derivative_unstable_fp,0.5,1.0,0.01,linear,0,0,10,0,1.1275869482574308e-06,1.0
0,13,"(0.1, 0.0)","(4, 50)",swish,0.001,1024,25000,no_reg,0.5,1.0,0.01,linear,10,0,0,0,3.9937873601913454,0.0
0,13,"(0.1, 0.0)","(4, 50)",swish,0.001,1024,25000,reg_derivative_unstable_fp,0.5,1.0,0.01,linear,0,5,0,0,2.37424099445343,0.0
0,13,"(0.5, 0.0)","(4, 50)",swish,0.001,1024,25000,no_reg,0.5,1.0,0.01,linear,10,0,0,0,4.183569002151489,0.0
0,13,"(0.5, 0.0)","(4, 50)",swish,0.001,1024,25000,reg_derivative_unstable_fp,0.5,1.0,0.01,linear,0,0,0,10,3.943026513297809e-06,1.0
0,13,"(1.0, 1.1)","(4, 50)",swish,0.001,1024,25000,no_reg,0.5,1.0,0.01,linear,0,0,10,0,1.4839035053171302e-06,1.0
0,13,"(1.0, 1.1)","(4, 50)",swish,0.001,1024,25000,reg_derivative_unstable_fp,0.5,1.0,0.01,linear,0,0,10,0,1.7415121824626568e-07,1.0
0,13,"(1.1, 1.0)","(4, 50)",swish,0.001,1024,25000,no_reg,0.5,1.0,0.01,linear,0,0,0,7,0.06958787818439305,0.5
0,13,"(1.1, 1.0)","(4, 50)",swish,0.001,1024,25000,reg_derivative_unstable_fp,0.5,1.0,0.01,linear,0,0,0,3,0.3155465304480458,0.3
0,13,"(1.1, 1.1)","(4, 50)",swish,0.001,1024,25000,no_reg,0.5,1.0,0.01,linear,0,8,0,0,0.2294735461473465,0.0
0,13,"(1.1, 1.1)","(4, 50)",swish,0.001,1024,25000,reg_derivative_unstable_fp,0.5,1.0,0.01,linear,0,0,10,0,2.0218457237319853e-06,1.0
0,14,"(0.1, 0.0)","(4, 50)",swish,0.001,1024,25000,no_reg,0.5,1.0,0.01,linear,10,0,0,0,4.030119132995606,0.0
0,14,"(0.1, 0.0)","(4, 50)",swish,0.001,1024,25000,reg_derivative_unstable_fp,0.5,1.0,0.01,linear,0,1,0,0,2.524639368057251,0.0
0,14,"(0.5, 0.0)","(4, 50)",swish,0.001,1024,25000,no_reg,0.5,1.0,0.01,linear,10,0,0,0,4.206578588485717,0.0
0,14,"(0.5, 0.0)","(4, 50)",swish,0.001,1024,25000,reg_derivative_unstable_fp,0.5,1.0,0.01,linear,0,0,0,7,0.5796741247184685,0.7
0,14,"(1.0, 1.1)","(4, 50)",swish,0.001,1024,25000,no_reg,0.5,1.0,0.01,linear,0,0,8,0,0.05591540999572473,0.8
0,14,"(1.0, 1.1)","(4, 50)",swish,0.001,1024,25000,reg_derivative_unstable_fp,0.5,1.0,0.01,linear,0,0,10,0,3.0962108663601386e-07,1.0
0,14,"(1.1, 1.0)","(4, 50)",swish,0.001,1024,25000,no_reg,0.5,1.0,0.01,linear,0,0,0,0,0.6171588897705078,0.0
0,14,"(1.1, 1.0)","(4, 50)",swish,0.001,1024,25000,reg_derivative_unstable_fp,0.5,1.0,0.01,linear,0,3,0,0,0.6708372116088868,0.0
0,14,"(1.1, 1.1)","(4, 50)",swish,0.001,1024,25000,no_reg,0.5,1.0,0.01,linear,0,10,0,0,0.2910030037164688,0.0
0,14,"(1.1, 1.1)","(4, 50)",swish,0.001,1024,25000,reg_derivative_unstable_fp,0.5,1.0,0.01,linear,0,0,10,0,2.5531309020720984e-06,1.0
0,14,"(1.5, 1.5)","(4, 50)",swish,0.001,1024,25000,no_reg,0.5,1.0,0.01,linear,9,0,1,0,1.08432490877708,0.1
0,14,"(1.5, 1.5)","(4, 50)",swish,0.001,1024,25000,reg_derivative_unstable_fp,0.5,1.0,0.01,linear,0,0,10,0,1.4570798384738738e-06,1.0
0,15,"(0.1, 0.0)","(4, 50)",swish,0.001,1024,25000,no_reg,0.5,1.0,0.01,linear,10,0,0,0,4.061003351211548,0.0
0,15,"(0.1, 0.0)","(4, 50)",swish,0.001,1024,25000,reg_derivative_unstable_fp,0.5,1.0,0.01,linear,0,0,0,0,2.7537041902542114,0.0
0,15,"(0.5, 0.0)","(4, 50)",swish,0.001,1024,25000,no_reg,0.5,1.0,0.01,linear,10,0,0,0,4.226478004455567,0.0
0,15,"(0.5, 0.0)","(4, 50)",swish,0.001,1024,25000,reg_derivative_unstable_fp,0.5,1.0,0.01,linear,0,0,0,7,0.6821048527533208,0.6
0,15,"(1.0, 1.1)","(4, 50)",swish,0.001,1024,25000,no_reg,0.5,1.0,0.01,linear,0,9,0,0,0.5105609983205796,0.0
0,15,"(1.0, 1.1)","(4, 50)",swish,0.001,1024,25000,reg_derivative_unstable_fp,0.5,1.0,0.01,linear,0,0,10,0,2.787430769757293e-07,1.0
0,15,"(1.1, 1.0)","(4, 50)",swish,0.001,1024,25000,no_reg,0.5,1.0,0.01,linear,0,10,0,0,1.10034841299057,0.0
0,15,"(1.1, 1.0)","(4, 50)",swish,0.001,1024,25000,reg_derivative_unstable_fp,0.5,1.0,0.01,linear,0,4,0,0,0.8964658677577972,0.0
0,15,"(1.1, 1.1)","(4, 50)",swish,0.001,1024,25000,no_reg,0.5,1.0,0.01,linear,0,10,0,0,0.3380509912967682,0.0
0,15,"(1.1, 1.1)","(4, 50)",swish,0.001,1024,25000,reg_derivative_unstable_fp,0.5,1.0,0.01,linear,0,0,10,0,1.1798752198899365e-05,1.0
0,15,"(1.5, 1.5)","(4, 50)",swish,0.001,1024,25000,no_reg,0.5,1.0,0.01,linear,10,0,0,0,1.238756489753723,0.0
0,15,"(1.5, 1.5)","(4, 50)",swish,0.001,1024,25000,reg_derivative_unstable_fp,0.5,1.0,0.01,linear,0,0,10,0,3.1809859052600587e-06,1.0
