,"(x0, y0)",success_no_reg,success_reg_derivative_unstable_fp
0,"(0.0007170569900147066, -0.2974411104001267)",False,False
0,"(0.7076179437848916, -0.08348000045208605)",False,True
0,"(0.45385689624589937, 0.4642910789311204)",False,True
0,"(0.5179204523957396, 0.07414794805374271)",False,True
0,"(0.6563830317972499, 0.40868640397599826)",True,True
0,"(-0.4072655417473766, 0.830091348572912)",True,True
0,"(0.42048378231839073, 0.11781696062297235)",False,True
0,"(-0.12093289114409363, 0.536602507784014)",False,True
0,"(0.6127754961575188, 0.14281916752385995)",False,True
0,"(-0.5705700414708352, -0.5365218650888042)",False,False
0,"(-0.36024220535272033, -0.20692236969353325)",False,False
0,"(-0.6005005859207104, -0.46075640583756206)",False,False
0,"(-0.6985350652011707, 0.5921954512721523)",True,True
0,"(-0.3048763624355502, -0.0008505418448218606)",False,False
0,"(-0.14831884554474403, 0.10301750073503695)",False,False
0,"(0.1623997678067431, -0.12500276930613208)",False,False
0,"(-0.35351078521816326, 0.3800600775755179)",False,True
0,"(0.2995317000732394, 0.5500872406061776)",False,True
0,"(0.5702740914231559, 1.4735239548351442)",True,True
0,"(-0.385728474147564, 0.5444555375053958)",False,True
0,"(-0.9246664147220909, 0.12258696440102927)",False,False
0,"(-0.2453052234977462, 0.6452620196092971)",False,True
0,"(0.31011634581090697, 0.6269579765393062)",True,True
0,"(-0.6505598900853297, -0.7210335217504457)",False,False
0,"(0.4112593250984041, -0.38760476800483595)",False,True
0,"(0.15308513915810965, 0.03160288475856723)",False,False
0,"(0.37650813789782883, 0.5536629428977976)",True,True
0,"(0.24021788659859322, 0.026815252315617523)",False,False
0,"(0.3581319634028852, -0.56285598272099)",False,False
0,"(0.06557017191081259, 0.03466076371686158)",False,False
0,"(-0.3929435060216504, 0.45586310396261354)",False,True
0,"(-0.6276535920294628, 0.4354670434307958)",True,True
0,"(-0.28714236639248913, 0.07343910296175947)",False,False
0,"(0.01716843159865455, -0.1467331998421616)",False,False
0,"(-0.12168988411079888, 0.5402796011920024)",False,True
0,"(0.1378146544024287, -0.3702848887820764)",False,False
0,"(0.23605785422577116, 0.2259775684105506)",False,False
0,"(1.3113875797595238, 0.13429029558103617)",True,True
0,"(0.3069328152015976, 0.009783596727361668)",False,True
0,"(0.4887915560737278, 0.11081347195225813)",False,True
0,"(0.7114345094955994, -0.2902992382412457)",False,True
0,"(0.6854895790948032, -1.0233149198052607)",True,True
0,"(-0.21657800383838444, -0.5310115785139821)",False,False
0,"(0.4380595595370132, 1.1155430727457198)",True,True
0,"(0.5477231050792445, 0.7660954161746798)",True,True
0,"(-0.04163362717009664, 0.1837403411447442)",False,False
0,"(0.3907314868553848, -0.6155871580390011)",False,False
0,"(-0.31428336337417256, -0.056970727889358336)",False,False
0,"(-0.2451455530451147, 0.7502395309333537)",False,True
0,"(0.10875652125240894, -1.0075936624806627)",False,False
