,"(x0, y0)",success_no_reg,success_reg_derivative_unstable_fp
0,"(0.20149139215031509, -0.4510417751373867)",False,False
0,"(0.27274234067621955, -0.38115657971497835)",False,False
0,"(1.0420328350578372, -0.1810699890268388)",True,True
0,"(-1.2256684802977924, 0.333971388469718)",False,False
0,"(-1.0080707988634132, 0.20906692933888338)",False,False
0,"(0.08723964450464869, 0.5667573916314201)",False,True
0,"(-0.25733714018327936, 0.5222842493119351)",False,True
0,"(-0.33560011917618116, -0.4380062798255215)",False,False
0,"(-1.060271722501206, 0.49118250632519034)",True,True
0,"(0.48789087100971384, -0.06853493161243643)",False,True
0,"(0.052914993433520456, -0.03493854286359459)",False,False
0,"(0.314395706550795, 0.09287149304112595)",False,True
0,"(-0.46242865047286746, 0.882221797943755)",True,True
0,"(0.6005352813196578, 0.4259036310943855)",True,True
0,"(0.7674802371997329, -0.8058175934303765)",True,True
0,"(-0.003620476525477622, 0.038330114852332425)",False,True
0,"(-0.22419945015162906, 0.09531951940584932)",False,False
0,"(0.48460934925678184, -0.12289075867407855)",False,True
0,"(-0.4722471399805542, 0.6418603388215612)",False,True
0,"(-0.2860483051343889, 0.20832241632500056)",False,False
0,"(0.5379679359317879, 0.9056027238647448)",True,True
0,"(-0.6125601259923226, 0.3756186914574361)",True,True
0,"(-0.20565789625147032, -0.3488474624959184)",False,False
0,"(1.0908739343413374, -0.5021237634091481)",True,True
0,"(-0.19191902409209205, 0.6382942985419664)",False,True
0,"(0.419861326303134, 0.1602687983105277)",False,True
0,"(-0.5578659412061733, 0.5528538447269807)",False,True
0,"(0.3777816908109755, 0.8137339827706506)",True,True
0,"(-0.4235594318562157, 0.6565652471702144)",True,True
0,"(-0.053140940361160446, -0.47324271649146415)",False,False
0,"(-0.31743645471812604, -0.016139430567577655)",False,False
0,"(0.21208191400254683, -0.32449540967111173)",False,False
0,"(0.13060974027470565, 0.09231150218314224)",False,False
0,"(0.08820597907409101, -0.4875582160221184)",False,False
0,"(-0.34131518096319446, 0.7544743140810786)",True,True
0,"(0.5076614981088141, 0.7424187319766499)",True,True
0,"(0.28148254045537197, 0.4835268316024893)",False,True
0,"(0.3388284440914512, 0.46136341174597695)",False,False
0,"(-0.07582716300244344, 0.39938532241642904)",False,True
0,"(-0.456858296802935, 0.1368655508740503)",False,False
0,"(-0.9610872405961214, 0.2464792394559489)",False,False
0,"(1.066656683254233, 0.023818466909023703)",True,True
