,network_architectures,activations,learning_rates,collocations,epochs,reg_epochs,reg_coeff,reg_decay,mean_loss,loss_successes_percent
0,"(4, 50)",tanh,0.001,1024,100000,0.0,1,linear,0.047182716,0.5
0,"(4, 50)",tanh,0.001,1024,100000,0.2,1,linear,0.018208195,0.9
0,"(4, 50)",tanh,0.001,1024,100000,0.2,100,linear,0.06536352,0.3
0,"(4, 50)",tanh,0.001,1024,100000,0.2,1000,linear,0.036884703,0.5
0,"(4, 50)",tanh,0.001,1024,100000,0.2,10000,linear,0.113801375,0.0
0,"(4, 50)",tanh,0.001,1024,100000,0.4,1,linear,0.017462008,0.9
0,"(4, 50)",tanh,0.001,1024,100000,0.4,100,linear,0.06664216,0.2
0,"(4, 50)",tanh,0.001,1024,100000,0.4,1000,linear,0.084705375,0.1
0,"(4, 50)",tanh,0.001,1024,100000,0.4,10000,linear,0.082386434,0.0
0,"(4, 50)",tanh,0.001,1024,100000,0.6,1,linear,0.02020925,0.7
0,"(4, 50)",tanh,0.001,1024,100000,0.6,100,linear,0.09235105,0.1
0,"(4, 50)",tanh,0.001,1024,100000,0.6,1000,linear,0.08555944,0.2
