,T,theta0,network_architectures,activations,learning_rates,collocations,epochs,regularization,reg_epochs,reg_coeff,reg_decay,mean_loss,loss_successes_percent
0,7.5,5,"(4, 50)",tanh,0.001,1024,50000,no_reg,1,1,,13.186575,0.0
0,7.5,5,"(4, 50)",tanh,0.001,1024,50000,unstable_fp,1,1,,13.187091,0.0
0,7.5,5,"(4, 50)",tanh,0.001,1024,50000,unstable_fp,1,10,,13.185982,0.0
0,7.5,5,"(4, 50)",tanh,0.001,1024,50000,unstable_fp,1,100000,,13.18795,0.0
0,7.5,5,"(4, 50)",tanh,0.001,1024,50000,reg_derivative,1,1,,13.186529,0.0
0,7.5,5,"(4, 50)",tanh,0.001,1024,50000,reg_derivative,1,10,,13.186457,0.0
0,7.5,5,"(4, 50)",tanh,0.001,1024,50000,reg_derivative,1,100000,,13.193248,0.0
0,7.5,5,"(4, 50)",tanh,0.001,1024,50000,reg_derivative_unstable_fp,1,1,,13.187851,0.0
0,7.5,5,"(4, 50)",tanh,0.001,1024,50000,reg_derivative_unstable_fp,1,10,,13.186941,0.0
0,7.5,5,"(4, 50)",tanh,0.001,1024,50000,reg_derivative_unstable_fp,1,100000,,13.186106,0.0
0,7.5,25,"(4, 50)",tanh,0.001,1024,50000,no_reg,1,1,,14.07813,0.0
0,7.5,25,"(4, 50)",tanh,0.001,1024,50000,unstable_fp,1,1,,14.078771,0.0
0,7.5,25,"(4, 50)",tanh,0.001,1024,50000,unstable_fp,1,10,,14.076263,0.0
0,7.5,25,"(4, 50)",tanh,0.001,1024,50000,unstable_fp,1,100000,,14.080887,0.0
0,7.5,25,"(4, 50)",tanh,0.001,1024,50000,reg_derivative,1,1,,14.077768,0.0
0,7.5,25,"(4, 50)",tanh,0.001,1024,50000,reg_derivative,1,10,,14.076306,0.0
0,7.5,25,"(4, 50)",tanh,0.001,1024,50000,reg_derivative,1,100000,,14.09445,0.0
0,7.5,25,"(4, 50)",tanh,0.001,1024,50000,reg_derivative_unstable_fp,1,1,,14.078534,0.0
0,7.5,25,"(4, 50)",tanh,0.001,1024,50000,reg_derivative_unstable_fp,1,10,,14.0772915,0.0
0,7.5,25,"(4, 50)",tanh,0.001,1024,50000,reg_derivative_unstable_fp,1,100000,,13.111531,0.0
0,7.5,100,"(4, 50)",tanh,0.001,1024,50000,no_reg,1,1,,10.217161,0.0
0,7.5,100,"(4, 50)",tanh,0.001,1024,50000,unstable_fp,1,1,,10.222395,0.0
0,7.5,100,"(4, 50)",tanh,0.001,1024,50000,unstable_fp,1,10,,0.085833564,1.0
0,7.5,100,"(4, 50)",tanh,0.001,1024,50000,unstable_fp,1,100000,,12.4556675,0.1
0,7.5,100,"(4, 50)",tanh,0.001,1024,50000,reg_derivative,1,1,,10.222178,0.0
0,7.5,100,"(4, 50)",tanh,0.001,1024,50000,reg_derivative,1,10,,0.087924406,1.0
0,7.5,100,"(4, 50)",tanh,0.001,1024,50000,reg_derivative,1,100000,,16.417492,0.0
0,7.5,100,"(4, 50)",tanh,0.001,1024,50000,reg_derivative_unstable_fp,1,1,,10.22113,0.0
0,7.5,100,"(4, 50)",tanh,0.001,1024,50000,reg_derivative_unstable_fp,1,10,,0.08194537,1.0
0,7.5,100,"(4, 50)",tanh,0.001,1024,50000,reg_derivative_unstable_fp,1,100000,,0.83700573,0.0
0,10.0,5,"(4, 50)",tanh,0.001,1024,50000,no_reg,1,1,,18.168867,0.0
0,10.0,5,"(4, 50)",tanh,0.001,1024,50000,unstable_fp,1,1,,18.167053,0.0
0,10.0,5,"(4, 50)",tanh,0.001,1024,50000,unstable_fp,1,10,,18.165777,0.0
0,10.0,5,"(4, 50)",tanh,0.001,1024,50000,unstable_fp,1,100000,,18.168047,0.0
0,10.0,5,"(4, 50)",tanh,0.001,1024,50000,reg_derivative,1,1,,18.16669,0.0
0,10.0,5,"(4, 50)",tanh,0.001,1024,50000,reg_derivative,1,10,,18.166668,0.0
0,10.0,5,"(4, 50)",tanh,0.001,1024,50000,reg_derivative,1,100000,,18.16848,0.0
0,10.0,5,"(4, 50)",tanh,0.001,1024,50000,reg_derivative_unstable_fp,1,1,,18.167057,0.0
0,10.0,5,"(4, 50)",tanh,0.001,1024,50000,reg_derivative_unstable_fp,1,10,,18.167292,0.0
0,10.0,5,"(4, 50)",tanh,0.001,1024,50000,reg_derivative_unstable_fp,1,100000,,18.16703,0.0
0,10.0,25,"(4, 50)",tanh,0.001,1024,50000,no_reg,1,1,,15.080854,0.0
0,10.0,25,"(4, 50)",tanh,0.001,1024,50000,unstable_fp,1,1,,15.076123,0.0
0,10.0,25,"(4, 50)",tanh,0.001,1024,50000,unstable_fp,1,10,,15.0792465,0.0
0,10.0,25,"(4, 50)",tanh,0.001,1024,50000,unstable_fp,1,100000,,15.093053,0.0
0,10.0,25,"(4, 50)",tanh,0.001,1024,50000,reg_derivative,1,1,,15.079082,0.0
0,10.0,25,"(4, 50)",tanh,0.001,1024,50000,reg_derivative,1,10,,15.082372,0.0
0,10.0,25,"(4, 50)",tanh,0.001,1024,50000,reg_derivative,1,100000,,15.085353,0.0
0,10.0,25,"(4, 50)",tanh,0.001,1024,50000,reg_derivative_unstable_fp,1,1,,15.077797,0.0
0,10.0,25,"(4, 50)",tanh,0.001,1024,50000,reg_derivative_unstable_fp,1,10,,15.075562,0.0
0,10.0,25,"(4, 50)",tanh,0.001,1024,50000,reg_derivative_unstable_fp,1,100000,,15.095047,0.0
0,10.0,100,"(4, 50)",tanh,0.001,1024,50000,no_reg,1,1,,10.436302,0.0
0,10.0,100,"(4, 50)",tanh,0.001,1024,50000,unstable_fp,1,1,,10.428637,0.0
0,10.0,100,"(4, 50)",tanh,0.001,1024,50000,unstable_fp,1,10,,0.13413802,1.0
0,10.0,100,"(4, 50)",tanh,0.001,1024,50000,unstable_fp,1,100000,,0.76932895,0.0
0,10.0,100,"(4, 50)",tanh,0.001,1024,50000,reg_derivative,1,1,,10.423493,0.0
0,10.0,100,"(4, 50)",tanh,0.001,1024,50000,reg_derivative,1,10,,4.739564,0.8
0,10.0,100,"(4, 50)",tanh,0.001,1024,50000,reg_derivative,1,100000,,12.512079,0.0
0,10.0,100,"(4, 50)",tanh,0.001,1024,50000,reg_derivative_unstable_fp,1,1,,10.42994,0.0
0,10.0,100,"(4, 50)",tanh,0.001,1024,50000,reg_derivative_unstable_fp,1,10,,0.12684998,1.0
0,10.0,100,"(4, 50)",tanh,0.001,1024,50000,reg_derivative_unstable_fp,1,100000,,12.467423,0.0
0,15.0,5,"(4, 50)",tanh,0.001,1024,50000,no_reg,1,1,,16.82966,0.0
0,15.0,5,"(4, 50)",tanh,0.001,1024,50000,unstable_fp,1,1,,16.831118,0.0
0,15.0,5,"(4, 50)",tanh,0.001,1024,50000,unstable_fp,1,10,,16.82777,0.0
0,15.0,5,"(4, 50)",tanh,0.001,1024,50000,unstable_fp,1,100000,,16.829927,0.0
0,15.0,5,"(4, 50)",tanh,0.001,1024,50000,reg_derivative,1,1,,16.82934,0.0
0,15.0,5,"(4, 50)",tanh,0.001,1024,50000,reg_derivative,1,10,,16.831648,0.0
0,15.0,5,"(4, 50)",tanh,0.001,1024,50000,reg_derivative,1,100000,,16.831753,0.0
0,15.0,5,"(4, 50)",tanh,0.001,1024,50000,reg_derivative_unstable_fp,1,1,,16.828783,0.0
0,15.0,5,"(4, 50)",tanh,0.001,1024,50000,reg_derivative_unstable_fp,1,10,,16.829449,0.0
0,15.0,5,"(4, 50)",tanh,0.001,1024,50000,reg_derivative_unstable_fp,1,100000,,16.829052,0.0
0,15.0,25,"(4, 50)",tanh,0.001,1024,50000,no_reg,1,1,,14.077921,0.0
0,15.0,25,"(4, 50)",tanh,0.001,1024,50000,unstable_fp,1,1,,14.077909,0.0
0,15.0,25,"(4, 50)",tanh,0.001,1024,50000,unstable_fp,1,10,,14.0775175,0.0
0,15.0,25,"(4, 50)",tanh,0.001,1024,50000,unstable_fp,1,100000,,14.084689,0.0
0,15.0,25,"(4, 50)",tanh,0.001,1024,50000,reg_derivative,1,1,,14.076238,0.0
