,"(theta0, omega0)",converged to,closest fp,stability,success
0,"(1.1148481045199805, 0.058674170420567794)","(-0.0011813670862466097, -0.0011193837272003293)","(0.0, 0.0)",unstable,False
0,"(-1.5253632009602534, 0.9341401826805596)","(-0.0006536066648550332, -0.0014570399653166533)","(0.0, 0.0)",unstable,False
0,"(-1.4580410937409671, 0.5299031404983182)","(0.0019043333595618606, 0.0011276423465460539)","(0.0, 0.0)",unstable,False
0,"(-2.2058589819172685, -0.6102484589343682)","(0.0037131011486053467, 0.00962037593126297)","(0.0, 0.0)",unstable,False
0,"(1.0565707796845736, -1.609591374588581)","(-0.0010074861347675323, -0.0009749610908329487)","(0.0, 0.0)",unstable,False
0,"(1.1207967721515262, -0.33925775558753923)","(-0.0022018440067768097, -0.001879516988992691)","(0.0, 0.0)",unstable,False
0,"(1.5125651650679979, -0.34553882102712546)","(-0.002799801528453827, -0.002055312739685178)","(0.0, 0.0)",unstable,False
0,"(-0.27208457450409185, 1.1976215880925836)","(-0.002094995230436325, -0.004155994392931461)","(0.0, 0.0)",unstable,False
0,"(-0.02394770149277603, -0.8514275155061937)","(0.0017828543204814196, 0.004541399888694286)","(0.0, 0.0)",unstable,False
0,"(0.01758098354443227, -0.9495832936323267)","(0.0017515986692160368, 0.0018069170182570815)","(0.0, 0.0)",unstable,False
0,"(-2.82323812453776, -0.39378288617507756)","(-0.000989306136034429, -0.00019840328604914248)","(0.0, 0.0)",unstable,False
0,"(-2.020891982248161, 0.15990663013726483)","(0.002541879890486598, 0.0011164058232679963)","(0.0, 0.0)",unstable,False
0,"(1.8780540786008677, -0.5218563142160099)","(-0.0020176246762275696, -0.0013229154283180833)","(0.0, 0.0)",unstable,False
