,T,y0,network_architectures,activations,learning_rates,collocations,epochs,regularization,reg_epochs,reg_coeff,reg_decay,mean_loss,loss_successes_percent
0,7.5,5,"(4, 50)",tanh,0.001,1024,50000,no_reg,1,1,1,10.2272,0.0
0,7.5,5,"(4, 50)",tanh,0.001,1024,50000,unstable_fp,1,1,1,10.223921,0.0
0,7.5,5,"(4, 50)",tanh,0.001,1024,50000,unstable_fp,1,10,1,0.09030968,1.0
0,7.5,5,"(4, 50)",tanh,0.001,1024,50000,unstable_fp,1,100000,1,9.000154,0.0
0,7.5,5,"(4, 50)",tanh,0.001,1024,50000,reg_derivative,1,1,1,10.224155,0.0
0,7.5,5,"(4, 50)",tanh,0.001,1024,50000,reg_derivative,1,10,1,0.07673544,1.0
0,7.5,5,"(4, 50)",tanh,0.001,1024,50000,reg_derivative,1,100000,1,4.7150936,0.0
0,7.5,5,"(4, 50)",tanh,0.001,1024,50000,reg_derivative_unstable_fp,1,1,1,10.218399,0.0
0,7.5,5,"(4, 50)",tanh,0.001,1024,50000,reg_derivative_unstable_fp,1,10,1,0.077166215,1.0
0,7.5,5,"(4, 50)",tanh,0.001,1024,50000,reg_derivative_unstable_fp,1,100000,1,8.569837,0.0
0,7.5,25,"(4, 50)",tanh,0.001,1024,50000,no_reg,1,1,1,10.217914,0.0
0,7.5,25,"(4, 50)",tanh,0.001,1024,50000,unstable_fp,1,1,1,10.220991,0.0
0,7.5,25,"(4, 50)",tanh,0.001,1024,50000,unstable_fp,1,10,1,0.09433467,1.0
0,7.5,25,"(4, 50)",tanh,0.001,1024,50000,unstable_fp,1,100000,1,8.559087,0.0
0,7.5,25,"(4, 50)",tanh,0.001,1024,50000,reg_derivative,1,1,1,10.223539,0.0
0,7.5,25,"(4, 50)",tanh,0.001,1024,50000,reg_derivative,1,10,1,0.08202653,1.0
0,7.5,25,"(4, 50)",tanh,0.001,1024,50000,reg_derivative,1,100000,1,13.03565,0.0
0,7.5,25,"(4, 50)",tanh,0.001,1024,50000,reg_derivative_unstable_fp,1,1,1,10.224266,0.0
0,7.5,25,"(4, 50)",tanh,0.001,1024,50000,reg_derivative_unstable_fp,1,10,1,0.08000772,1.0
0,7.5,25,"(4, 50)",tanh,0.001,1024,50000,reg_derivative_unstable_fp,1,100000,1,12.553556,0.0
0,7.5,100,"(4, 50)",tanh,0.001,1024,50000,no_reg,1,1,1,10.222639,0.0
0,7.5,100,"(4, 50)",tanh,0.001,1024,50000,unstable_fp,1,1,1,10.226343,0.0
0,7.5,100,"(4, 50)",tanh,0.001,1024,50000,unstable_fp,1,10,1,0.09284852,1.0
0,7.5,100,"(4, 50)",tanh,0.001,1024,50000,unstable_fp,1,100000,1,24.092684,0.0
0,7.5,100,"(4, 50)",tanh,0.001,1024,50000,reg_derivative,1,1,1,10.228945,0.0
0,7.5,100,"(4, 50)",tanh,0.001,1024,50000,reg_derivative,1,10,1,0.08141299,1.0
0,7.5,100,"(4, 50)",tanh,0.001,1024,50000,reg_derivative,1,100000,1,20.15132,0.0
0,7.5,100,"(4, 50)",tanh,0.001,1024,50000,reg_derivative_unstable_fp,1,1,1,10.2215805,0.0
0,7.5,100,"(4, 50)",tanh,0.001,1024,50000,reg_derivative_unstable_fp,1,10,1,0.080793574,1.0
0,7.5,100,"(4, 50)",tanh,0.001,1024,50000,reg_derivative_unstable_fp,1,100000,1,0.78282136,0.0
0,10.0,5,"(4, 50)",tanh,0.001,1024,50000,no_reg,1,1,1,10.428828,0.0
0,10.0,5,"(4, 50)",tanh,0.001,1024,50000,unstable_fp,1,1,1,10.430434,0.0
0,10.0,5,"(4, 50)",tanh,0.001,1024,50000,unstable_fp,1,10,1,0.1364824,1.0
0,10.0,5,"(4, 50)",tanh,0.001,1024,50000,unstable_fp,1,100000,1,16.3922,0.0
0,10.0,5,"(4, 50)",tanh,0.001,1024,50000,reg_derivative,1,1,1,10.426258,0.0
0,10.0,5,"(4, 50)",tanh,0.001,1024,50000,reg_derivative,1,10,1,0.59421015,0.7
0,10.0,5,"(4, 50)",tanh,0.001,1024,50000,reg_derivative,1,100000,1,4.606925,0.0
