,T,theta0,network_architectures,activations,learning_rates,collocations,epochs,regularization,reg_epochs,reg_coeff,reg_decay,mean_loss,loss_successes_percent
0,7.5,20,"(4, 50)",tanh,0.001,1024,50000,no_reg,0.5,1,linear,15.476019,0.0
0,7.5,20,"(4, 50)",tanh,0.001,1024,50000,no_reg,0.9,1,linear,15.475761,0.0
0,7.5,20,"(4, 50)",tanh,0.001,1024,50000,unstable_fp,0.5,1,linear,15.4765415,0.0
0,7.5,20,"(4, 50)",tanh,0.001,1024,50000,unstable_fp,0.5,100,linear,8.315599,0.8
0,7.5,20,"(4, 50)",tanh,0.001,1024,50000,unstable_fp,0.5,10000,linear,22.08025,0.5
0,7.5,20,"(4, 50)",tanh,0.001,1024,50000,unstable_fp,0.9,1,linear,15.475398,0.0
0,7.5,20,"(4, 50)",tanh,0.001,1024,50000,unstable_fp,0.9,100,linear,7.40821,0.8
0,7.5,20,"(4, 50)",tanh,0.001,1024,50000,unstable_fp,0.9,10000,linear,17.270212,0.5
0,7.5,20,"(4, 50)",tanh,0.001,1024,50000,reg_derivative,0.5,1,linear,15.4761715,0.0
0,7.5,20,"(4, 50)",tanh,0.001,1024,50000,reg_derivative,0.5,100,linear,32.975025,0.2
0,7.5,20,"(4, 50)",tanh,0.001,1024,50000,reg_derivative,0.5,10000,linear,12.178112,0.7
0,7.5,20,"(4, 50)",tanh,0.001,1024,50000,reg_derivative,0.9,1,linear,15.47612,0.0
0,7.5,20,"(4, 50)",tanh,0.001,1024,50000,reg_derivative,0.9,100,linear,19.193731,0.5
0,7.5,20,"(4, 50)",tanh,0.001,1024,50000,reg_derivative,0.9,10000,linear,14.001063,0.5
0,7.5,20,"(4, 50)",tanh,0.001,1024,50000,reg_derivative_unstable_fp,0.5,1,linear,15.475728,0.0
0,7.5,20,"(4, 50)",tanh,0.001,1024,50000,reg_derivative_unstable_fp,0.5,100,linear,21.119072,0.5
0,7.5,20,"(4, 50)",tanh,0.001,1024,50000,reg_derivative_unstable_fp,0.5,10000,linear,26.994907,0.4
0,7.5,20,"(4, 50)",tanh,0.001,1024,50000,reg_derivative_unstable_fp,0.9,1,linear,15.477386,0.0
0,7.5,20,"(4, 50)",tanh,0.001,1024,50000,reg_derivative_unstable_fp,0.9,100,linear,22.118383,0.4
0,7.5,20,"(4, 50)",tanh,0.001,1024,50000,reg_derivative_unstable_fp,0.9,10000,linear,18.286034,0.5
0,7.5,100,"(4, 50)",tanh,0.001,1024,50000,no_reg,0.5,1,linear,10.323458,0.0
0,7.5,100,"(4, 50)",tanh,0.001,1024,50000,no_reg,0.9,1,linear,10.324637,0.0
0,7.5,100,"(4, 50)",tanh,0.001,1024,50000,unstable_fp,0.5,1,linear,10.323822,0.0
0,7.5,100,"(4, 50)",tanh,0.001,1024,50000,unstable_fp,0.5,100,linear,20.297537,0.4
0,7.5,100,"(4, 50)",tanh,0.001,1024,50000,unstable_fp,0.5,10000,linear,15.3572645,0.4
0,7.5,100,"(4, 50)",tanh,0.001,1024,50000,unstable_fp,0.9,1,linear,10.324585,0.0
0,7.5,100,"(4, 50)",tanh,0.001,1024,50000,unstable_fp,0.9,100,linear,20.022486,0.4
0,7.5,100,"(4, 50)",tanh,0.001,1024,50000,unstable_fp,0.9,10000,linear,23.360195,0.3
0,7.5,100,"(4, 50)",tanh,0.001,1024,50000,reg_derivative,0.5,1,linear,10.322131,0.0
0,7.5,100,"(4, 50)",tanh,0.001,1024,50000,reg_derivative,0.5,100,linear,17.126575,0.5
0,7.5,100,"(4, 50)",tanh,0.001,1024,50000,reg_derivative,0.5,10000,linear,12.205274,0.6
0,7.5,100,"(4, 50)",tanh,0.001,1024,50000,reg_derivative,0.9,1,linear,10.323317,0.0
0,7.5,100,"(4, 50)",tanh,0.001,1024,50000,reg_derivative,0.9,100,linear,20.390718,0.4
0,7.5,100,"(4, 50)",tanh,0.001,1024,50000,reg_derivative,0.9,10000,linear,10.267419,0.7
