,T,y0,network_architectures,activations,learning_rates,collocations,epochs,reg_epochs,reg_coeff,reg_decay,mean_loss,loss_successes_percent
0,10,25,"(4, 50)",tanh,0.001,1024,50000,0.0,1,1,0.007029795,0.9
0,10,25,"(4, 50)",tanh,0.001,1024,50000,0.5,1,1,0.0008305231,1.0
0,10,25,"(4, 50)",tanh,0.001,1024,50000,0.95,1,1,0.0014997905,1.0
0,10,100,"(4, 50)",tanh,0.001,1024,50000,0.0,1,1,0.005952328,0.95
0,10,100,"(4, 50)",tanh,0.001,1024,50000,0.5,1,1,0.00089803815,1.0
0,10,100,"(4, 50)",tanh,0.001,1024,50000,0.95,1,1,0.003621043,1.0
0,10,175,"(4, 50)",tanh,0.001,1024,50000,0.0,1,1,0.0017525317,1.0
0,10,175,"(4, 50)",tanh,0.001,1024,50000,0.5,1,1,0.0030275402,1.0
0,10,175,"(4, 50)",tanh,0.001,1024,50000,0.95,1,1,0.001504541,1.0
0,15,25,"(4, 50)",tanh,0.001,1024,50000,0.0,1,1,1.3692306,0.1
0,15,25,"(4, 50)",tanh,0.001,1024,50000,0.5,1,1,0.30637842,0.8
0,15,25,"(4, 50)",tanh,0.001,1024,50000,0.95,1,1,0.017207671,0.85
