,T,theta0,network_architectures,activations,learning_rates,collocations,epochs,regularization,reg_epochs,reg_coeff,reg_decay,mean_loss,loss_successes_percent
0,7.5,20,"(4, 50)",tanh,0.001,1024,50000,no_reg,1,1,,15.476692,0.0
0,7.5,20,"(4, 50)",tanh,0.001,1024,50000,unstable_fp,1,1,,15.476473,0.0
0,7.5,20,"(4, 50)",tanh,0.001,1024,50000,unstable_fp,1,100,,16.069113,0.0
0,7.5,20,"(4, 50)",tanh,0.001,1024,50000,unstable_fp,1,10000,,27.766926,0.0
0,7.5,20,"(4, 50)",tanh,0.001,1024,50000,reg_derivative,1,1,,15.475406,0.0
0,7.5,20,"(4, 50)",tanh,0.001,1024,50000,reg_derivative,1,100,,16.071827,0.0
0,7.5,20,"(4, 50)",tanh,0.001,1024,50000,reg_derivative,1,10000,,37.974693,0.0
0,7.5,20,"(4, 50)",tanh,0.001,1024,50000,reg_derivative_unstable_fp,1,1,,15.475467,0.0
0,7.5,20,"(4, 50)",tanh,0.001,1024,50000,reg_derivative_unstable_fp,1,100,,15.141011,0.0
0,7.5,20,"(4, 50)",tanh,0.001,1024,50000,reg_derivative_unstable_fp,1,10000,,41.567955,0.0
0,7.5,100,"(4, 50)",tanh,0.001,1024,50000,no_reg,1,1,,10.315424,0.0
0,7.5,100,"(4, 50)",tanh,0.001,1024,50000,unstable_fp,1,1,,10.312742,0.0
0,7.5,100,"(4, 50)",tanh,0.001,1024,50000,unstable_fp,1,100,,21.004354,0.1
0,7.5,100,"(4, 50)",tanh,0.001,1024,50000,unstable_fp,1,10000,,16.592096,0.1
0,7.5,100,"(4, 50)",tanh,0.001,1024,50000,reg_derivative,1,1,,10.312625,0.0
0,7.5,100,"(4, 50)",tanh,0.001,1024,50000,reg_derivative,1,100,,25.185429,0.0
0,7.5,100,"(4, 50)",tanh,0.001,1024,50000,reg_derivative,1,10000,,32.431423,0.0
0,7.5,100,"(4, 50)",tanh,0.001,1024,50000,reg_derivative_unstable_fp,1,1,,10.320736,0.0
0,7.5,100,"(4, 50)",tanh,0.001,1024,50000,reg_derivative_unstable_fp,1,100,,20.983326,0.2
0,7.5,100,"(4, 50)",tanh,0.001,1024,50000,reg_derivative_unstable_fp,1,10000,,24.70071,0.0
0,10.0,20,"(4, 50)",tanh,0.001,1024,50000,no_reg,1,1,,14.275063,0.0
0,10.0,20,"(4, 50)",tanh,0.001,1024,50000,unstable_fp,1,1,,14.276396,0.0
0,10.0,20,"(4, 50)",tanh,0.001,1024,50000,unstable_fp,1,100,,14.409872,0.0
0,10.0,20,"(4, 50)",tanh,0.001,1024,50000,unstable_fp,1,10000,,41.011036,0.0
0,10.0,20,"(4, 50)",tanh,0.001,1024,50000,reg_derivative,1,1,,14.275104,0.0
0,10.0,20,"(4, 50)",tanh,0.001,1024,50000,reg_derivative,1,100,,14.843256,0.0
0,10.0,20,"(4, 50)",tanh,0.001,1024,50000,reg_derivative,1,10000,,28.279007,0.0
0,10.0,20,"(4, 50)",tanh,0.001,1024,50000,reg_derivative_unstable_fp,1,1,,14.277336,0.0
0,10.0,20,"(4, 50)",tanh,0.001,1024,50000,reg_derivative_unstable_fp,1,100,,14.84213,0.0
0,10.0,20,"(4, 50)",tanh,0.001,1024,50000,reg_derivative_unstable_fp,1,10000,,45.907574,0.0
0,10.0,100,"(4, 50)",tanh,0.001,1024,50000,no_reg,1,1,,10.520331,0.0
0,10.0,100,"(4, 50)",tanh,0.001,1024,50000,unstable_fp,1,1,,10.522693,0.0
0,10.0,100,"(4, 50)",tanh,0.001,1024,50000,unstable_fp,1,100,,25.391117,0.0
0,10.0,100,"(4, 50)",tanh,0.001,1024,50000,unstable_fp,1,10000,,16.690624,0.1
0,10.0,100,"(4, 50)",tanh,0.001,1024,50000,reg_derivative,1,1,,10.5180435,0.0
0,10.0,100,"(4, 50)",tanh,0.001,1024,50000,reg_derivative,1,100,,21.089642,0.0
0,10.0,100,"(4, 50)",tanh,0.001,1024,50000,reg_derivative,1,10000,,24.761448,0.1
0,10.0,100,"(4, 50)",tanh,0.001,1024,50000,reg_derivative_unstable_fp,1,1,,10.518499,0.0
0,10.0,100,"(4, 50)",tanh,0.001,1024,50000,reg_derivative_unstable_fp,1,100,,29.4059,0.3
0,10.0,100,"(4, 50)",tanh,0.001,1024,50000,reg_derivative_unstable_fp,1,10000,,24.608675,0.0
