,T,theta0,network_architectures,activations,learning_rates,collocations,epochs,regularization,reg_epochs,reg_coeff,reg_decay,mean_loss,loss_successes_percent
0,7.5,5,"(4, 50)",tanh,0.001,1024,50000,no_reg,1,1,,13.186495,0.0
0,7.5,5,"(4, 50)",tanh,0.001,1024,50000,unstable_fp,1,1,,13.186391,0.0
0,7.5,5,"(4, 50)",tanh,0.001,1024,50000,unstable_fp,1,100,,13.194211,0.0
0,7.5,5,"(4, 50)",tanh,0.001,1024,50000,unstable_fp,1,10000,,16.226421,0.0
0,7.5,5,"(4, 50)",tanh,0.001,1024,50000,reg_derivative,1,1,,13.186564,0.0
0,7.5,5,"(4, 50)",tanh,0.001,1024,50000,reg_derivative,1,100,,13.194104,0.0
0,7.5,5,"(4, 50)",tanh,0.001,1024,50000,reg_derivative,1,10000,,22.472172,0.0
0,7.5,5,"(4, 50)",tanh,0.001,1024,50000,reg_derivative_unstable_fp,1,1,,13.186806,0.0
0,7.5,5,"(4, 50)",tanh,0.001,1024,50000,reg_derivative_unstable_fp,1,100,,13.003398,0.0
0,7.5,5,"(4, 50)",tanh,0.001,1024,50000,reg_derivative_unstable_fp,1,10000,,17.62546,0.0
0,7.5,25,"(4, 50)",tanh,0.001,1024,50000,no_reg,1,1,,14.077143,0.0
0,7.5,25,"(4, 50)",tanh,0.001,1024,50000,unstable_fp,1,1,,17.747286,0.0
0,7.5,25,"(4, 50)",tanh,0.001,1024,50000,unstable_fp,1,100,,13.733302,0.0
0,7.5,25,"(4, 50)",tanh,0.001,1024,50000,unstable_fp,1,10000,,28.575909,0.0
0,7.5,25,"(4, 50)",tanh,0.001,1024,50000,reg_derivative,1,1,,14.076915,0.0
0,7.5,25,"(4, 50)",tanh,0.001,1024,50000,reg_derivative,1,100,,14.831386,0.0
0,7.5,25,"(4, 50)",tanh,0.001,1024,50000,reg_derivative,1,10000,,41.21781,0.0
0,7.5,25,"(4, 50)",tanh,0.001,1024,50000,reg_derivative_unstable_fp,1,1,,14.078296,0.0
0,7.5,25,"(4, 50)",tanh,0.001,1024,50000,reg_derivative_unstable_fp,1,100,,13.183424,0.0
0,7.5,25,"(4, 50)",tanh,0.001,1024,50000,reg_derivative_unstable_fp,1,10000,,44.566826,0.0
0,7.5,100,"(4, 50)",tanh,0.001,1024,50000,no_reg,1,1,,10.31619,0.0
0,7.5,100,"(4, 50)",tanh,0.001,1024,50000,unstable_fp,1,1,,10.31452,0.0
0,7.5,100,"(4, 50)",tanh,0.001,1024,50000,unstable_fp,1,100,,25.091988,0.2
