,T,y0,network_architectures,activations,learning_rates,collocations,epochs,reg_epochs,reg_coeff,reg_decay,mean_loss,loss_successes_percent
0,7.5,0.001,"(4, 50)",tanh,0.001,1024,50000,0.0,1,1,0.09619752,0.0
0,7.5,0.001,"(4, 50)",tanh,0.001,1024,50000,0.25,1,1,0.09563672,0.0
0,7.5,0.001,"(4, 50)",tanh,0.001,1024,50000,0.5,1,1,0.08132163,0.15
0,7.5,0.001,"(4, 50)",tanh,0.001,1024,50000,0.75,1,1,0.05260812,0.45
0,7.5,0.001,"(4, 50)",tanh,0.001,1024,50000,1.0,1,1,0.8266473,0.0
0,7.5,0.01,"(4, 50)",tanh,0.001,1024,50000,0.0,1,1,0.38416165,0.0
0,7.5,0.01,"(4, 50)",tanh,0.001,1024,50000,0.25,1,1,0.28428885,0.25
0,7.5,0.01,"(4, 50)",tanh,0.001,1024,50000,0.5,1,1,0.324176,0.15
0,7.5,0.01,"(4, 50)",tanh,0.001,1024,50000,0.75,1,1,0.2190053,0.35
0,7.5,0.01,"(4, 50)",tanh,0.001,1024,50000,1.0,1,1,0.9659212,0.0
0,7.5,0.1,"(4, 50)",tanh,0.001,1024,50000,0.0,1,1,0.6835289,0.0
0,7.5,0.1,"(4, 50)",tanh,0.001,1024,50000,0.25,1,1,0.54320425,0.2
0,7.5,0.1,"(4, 50)",tanh,0.001,1024,50000,0.5,1,1,0.3062655,0.55
0,7.5,0.1,"(4, 50)",tanh,0.001,1024,50000,0.75,1,1,0.34157863,0.5
0,7.5,0.1,"(4, 50)",tanh,0.001,1024,50000,1.0,1,1,1.1469887,0.0
0,10.0,0.001,"(4, 50)",tanh,0.001,1024,50000,0.0,1,1,0.30860403,0.0
0,10.0,0.001,"(4, 50)",tanh,0.001,1024,50000,0.25,1,1,0.29556575,0.0
0,10.0,0.001,"(4, 50)",tanh,0.001,1024,50000,0.5,1,1,0.3662993,0.0
0,10.0,0.001,"(4, 50)",tanh,0.001,1024,50000,0.75,1,1,0.31683615,0.05
0,10.0,0.001,"(4, 50)",tanh,0.001,1024,50000,1.0,1,1,0.9849248,0.0
0,10.0,0.01,"(4, 50)",tanh,0.001,1024,50000,0.0,1,1,0.5400656,0.0
0,10.0,0.01,"(4, 50)",tanh,0.001,1024,50000,0.25,1,1,0.32375973,0.4
0,10.0,0.01,"(4, 50)",tanh,0.001,1024,50000,0.5,1,1,0.24344186,0.55
0,10.0,0.01,"(4, 50)",tanh,0.001,1024,50000,0.75,1,1,0.36788425,0.4
0,10.0,0.01,"(4, 50)",tanh,0.001,1024,50000,1.0,1,1,1.2457556,0.0
0,10.0,0.1,"(4, 50)",tanh,0.001,1024,50000,0.0,1,1,0.6869412,0.1
0,10.0,0.1,"(4, 50)",tanh,0.001,1024,50000,0.25,1,1,0.45795074,0.4
0,10.0,0.1,"(4, 50)",tanh,0.001,1024,50000,0.5,1,1,0.572523,0.25
0,10.0,0.1,"(4, 50)",tanh,0.001,1024,50000,0.75,1,1,0.38055414,0.5
0,10.0,0.1,"(4, 50)",tanh,0.001,1024,50000,1.0,1,1,1.421736,0.55
