,T,y0,network_architectures,activations,learning_rates,collocations,epochs,regularization,reg_epochs,reg_coeff,reg_decay,mean_loss,loss_successes_percent
0,7.5,0.001,"(4, 50)",tanh,0.001,1024,50000,no_reg,1,100000,1,0.09622513,0.0
0,7.5,0.001,"(4, 50)",tanh,0.001,1024,50000,unstable_fp,1,100000,1,0.5762845,0.1
0,7.5,0.001,"(4, 50)",tanh,0.001,1024,50000,reg_derivative,1,100000,1,1.7907104,0.0
0,7.5,0.001,"(4, 50)",tanh,0.001,1024,50000,reg_derivative_unstable_fp,1,100000,1,0.3186604,0.4
0,7.5,0.01,"(4, 50)",tanh,0.001,1024,50000,no_reg,1,100000,1,0.38541028,0.0
0,7.5,0.01,"(4, 50)",tanh,0.001,1024,50000,unstable_fp,1,100000,1,0.2085278,0.5
0,7.5,0.01,"(4, 50)",tanh,0.001,1024,50000,reg_derivative,1,100000,1,2.5372736,0.0
0,7.5,0.01,"(4, 50)",tanh,0.001,1024,50000,reg_derivative_unstable_fp,1,100000,1,0.9715071,0.2
0,7.5,0.1,"(4, 50)",tanh,0.001,1024,50000,no_reg,1,100000,1,0.6840089,0.0
0,7.5,0.1,"(4, 50)",tanh,0.001,1024,50000,unstable_fp,1,100000,1,1.185643,0.6
0,7.5,0.1,"(4, 50)",tanh,0.001,1024,50000,reg_derivative,1,100000,1,0.4214077,0.0
0,7.5,0.1,"(4, 50)",tanh,0.001,1024,50000,reg_derivative_unstable_fp,1,100000,1,0.26830134,0.7
0,10.0,0.001,"(4, 50)",tanh,0.001,1024,50000,no_reg,1,100000,1,0.30885184,0.0
0,10.0,0.001,"(4, 50)",tanh,0.001,1024,50000,unstable_fp,1,100000,1,1.3317529,0.0
