,T,y0,network_architectures,activations,learning_rates,collocations,epochs,regularization,reg_epochs,reg_coeff,reg_decay,-1.0,0.0,1.0,mean_loss,loss_successes_percent
0,7.5,0.001,"(2, 20)",swish,0.001,1024,50000,unstable_fp,0.25,0.1,linear,1,0,2,0.10862472,0.55
0,7.5,0.001,"(2, 20)",swish,0.001,1024,50000,unstable_fp,0.25,1.0,linear,0,0,2,0.11896721,0.4
0,7.5,0.001,"(2, 20)",swish,0.001,1024,50000,unstable_fp,0.25,10.0,linear,0,0,11,0.14177969,0.25
0,7.5,0.001,"(2, 20)",swish,0.001,1024,50000,unstable_fp,0.25,100.0,linear,9,0,7,0.32639855,0.0
0,7.5,0.001,"(2, 20)",swish,0.001,1024,50000,unstable_fp,0.25,1000.0,linear,13,0,6,0.39470145,0.0
0,7.5,0.001,"(2, 20)",swish,0.001,1024,50000,unstable_fp,0.5,0.1,linear,0,0,3,0.11102562,0.4
0,7.5,0.001,"(2, 20)",swish,0.001,1024,50000,unstable_fp,0.5,1.0,linear,0,0,12,0.09202374,0.35
0,7.5,0.001,"(2, 20)",swish,0.001,1024,50000,unstable_fp,0.5,10.0,linear,2,0,6,0.24341771,0.0
0,7.5,0.001,"(2, 20)",swish,0.001,1024,50000,unstable_fp,0.5,100.0,linear,10,0,10,0.32963407,0.0
0,7.5,0.001,"(2, 20)",swish,0.001,1024,50000,unstable_fp,0.5,1000.0,linear,11,0,9,0.40571588,0.0
0,7.5,0.001,"(2, 20)",swish,0.001,1024,50000,unstable_fp,0.75,0.1,linear,2,0,7,0.14935043,0.2
0,7.5,0.001,"(2, 20)",swish,0.001,1024,50000,unstable_fp,0.75,1.0,linear,5,0,8,0.25909573,0.0
0,7.5,0.001,"(2, 20)",swish,0.001,1024,50000,unstable_fp,0.75,10.0,linear,11,0,8,0.34462884,0.0
0,7.5,0.001,"(2, 20)",swish,0.001,1024,50000,unstable_fp,0.75,100.0,linear,9,0,11,0.36163577,0.0
0,7.5,0.001,"(2, 20)",swish,0.001,1024,50000,unstable_fp,0.75,1000.0,linear,9,0,11,0.43720022,0.0
0,7.5,0.001,"(2, 20)",swish,0.001,1024,50000,unstable_fp,1.0,0.1,linear,10,0,10,0.47767228,0.0
0,7.5,0.001,"(2, 20)",swish,0.001,1024,50000,unstable_fp,1.0,1.0,linear,10,0,10,0.5740751,0.0
0,7.5,0.001,"(2, 20)",swish,0.001,1024,50000,unstable_fp,1.0,10.0,linear,9,0,11,0.6690079,0.0
0,7.5,0.001,"(2, 20)",swish,0.001,1024,50000,unstable_fp,1.0,100.0,linear,9,0,11,0.7640317,0.0
