,T,y0,network_architectures,activations,learning_rates,collocations,epochs,regularization,reg_epochs,reg_coeff,eps,reg_decay,-1.0,0.0,1.0,mean_loss,loss_successes_percent
0,7,0.05,"(4, 50)",swish,0.001,1024,25000,reg_derivative_unstable_fp,0.5,1.0,0.01,linear,0,0,20,0.0037524543780996567,0.95
0,7,0.15,"(4, 50)",swish,0.001,1024,25000,reg_derivative_unstable_fp,0.5,1.0,0.01,linear,0,0,20,6.487524902509811e-07,1.0
0,7,0.25,"(4, 50)",swish,0.001,1024,25000,reg_derivative_unstable_fp,0.5,1.0,0.01,linear,0,0,20,3.524631101314846e-07,1.0
0,7,0.35,"(4, 50)",swish,0.001,1024,25000,reg_derivative_unstable_fp,0.5,1.0,0.01,linear,0,0,20,6.43175120718098e-08,1.0
0,8,0.05,"(4, 50)",swish,0.001,1024,25000,reg_derivative_unstable_fp,0.5,1.0,0.01,linear,0,0,20,0.01632929024630945,0.95
0,8,0.15,"(4, 50)",swish,0.001,1024,25000,reg_derivative_unstable_fp,0.5,1.0,0.01,linear,0,0,20,1.9839150456890663e-07,1.0
0,8,0.25,"(4, 50)",swish,0.001,1024,25000,reg_derivative_unstable_fp,0.5,1.0,0.01,linear,0,0,20,2.864461441154376e-07,1.0
0,8,0.35,"(4, 50)",swish,0.001,1024,25000,reg_derivative_unstable_fp,0.5,1.0,0.01,linear,0,0,20,2.8582702681356765e-07,1.0
0,9,0.05,"(4, 50)",swish,0.001,1024,25000,reg_derivative_unstable_fp,0.5,1.0,0.01,linear,0,2,18,0.06650271565887593,0.9
0,9,0.15,"(4, 50)",swish,0.001,1024,25000,reg_derivative_unstable_fp,0.5,1.0,0.01,linear,0,0,20,2.6762556951664964e-07,1.0
0,9,0.25,"(4, 50)",swish,0.001,1024,25000,reg_derivative_unstable_fp,0.5,1.0,0.01,linear,0,0,20,7.553819273808938e-07,1.0
0,9,0.35,"(4, 50)",swish,0.001,1024,25000,reg_derivative_unstable_fp,0.5,1.0,0.01,linear,0,0,20,4.5212195351473916e-07,1.0
0,10,0.05,"(4, 50)",swish,0.001,1024,25000,reg_derivative_unstable_fp,0.5,1.0,0.01,linear,0,0,19,0.03692777857098771,0.95
0,10,0.15,"(4, 50)",swish,0.001,1024,25000,reg_derivative_unstable_fp,0.5,1.0,0.01,linear,0,0,20,4.959619414490745e-07,1.0
0,10,0.25,"(4, 50)",swish,0.001,1024,25000,reg_derivative_unstable_fp,0.5,1.0,0.01,linear,0,0,20,3.592904061378022e-07,1.0
0,10,0.35,"(4, 50)",swish,0.001,1024,25000,reg_derivative_unstable_fp,0.5,1.0,0.01,linear,0,0,20,9.897402586389603e-08,1.0
