,T,y0,network_architectures,activations,learning_rates,collocations,epochs,regularization,reg_epochs,reg_coeff,eps,reg_decay,-1.0,0.0,1.0,mean_loss,loss_successes_percent
0,11,0.05,"(4, 50)",swish,0.001,1024,25000,reg_derivative_unstable_fp,0.5,1.0,0.01,linear,0,0,20,2.997504739088441e-07,1.0
0,11,0.15,"(4, 50)",swish,0.001,1024,25000,reg_derivative_unstable_fp,0.5,1.0,0.01,linear,0,0,20,2.9517044148885673e-07,1.0
0,11,0.25,"(4, 50)",swish,0.001,1024,25000,reg_derivative_unstable_fp,0.5,1.0,0.01,linear,0,0,20,2.406404452370836e-07,1.0
0,11,0.35,"(4, 50)",swish,0.001,1024,25000,reg_derivative_unstable_fp,0.5,1.0,0.01,linear,0,0,20,5.910843378309494e-07,1.0
0,12,0.05,"(4, 50)",swish,0.001,1024,25000,reg_derivative_unstable_fp,0.5,1.0,0.01,linear,0,0,20,1.8680925498726352e-07,1.0
0,12,0.15,"(4, 50)",swish,0.001,1024,25000,reg_derivative_unstable_fp,0.5,1.0,0.01,linear,0,0,20,9.60734774146932e-07,1.0
0,12,0.25,"(4, 50)",swish,0.001,1024,25000,reg_derivative_unstable_fp,0.5,1.0,0.01,linear,0,0,20,8.071010414334445e-07,1.0
0,12,0.35,"(4, 50)",swish,0.001,1024,25000,reg_derivative_unstable_fp,0.5,1.0,0.01,linear,0,0,20,3.2827419710335093e-07,1.0
0,13,0.05,"(4, 50)",swish,0.001,1024,25000,reg_derivative_unstable_fp,0.5,1.0,0.01,linear,0,0,20,4.31976209980256e-07,1.0
0,13,0.15,"(4, 50)",swish,0.001,1024,25000,reg_derivative_unstable_fp,0.5,1.0,0.01,linear,0,0,20,1.8108815940359735e-06,1.0
0,13,0.25,"(4, 50)",swish,0.001,1024,25000,reg_derivative_unstable_fp,0.5,1.0,0.01,linear,0,0,20,4.3710345282721443e-07,1.0
0,13,0.35,"(4, 50)",swish,0.001,1024,25000,reg_derivative_unstable_fp,0.5,1.0,0.01,linear,0,0,20,8.092111741353492e-07,1.0
0,14,0.05,"(4, 50)",swish,0.001,1024,25000,reg_derivative_unstable_fp,0.5,1.0,0.01,linear,0,0,20,1.5244524481150545e-06,1.0
0,14,0.15,"(4, 50)",swish,0.001,1024,25000,reg_derivative_unstable_fp,0.5,1.0,0.01,linear,0,0,20,8.240259667946503e-07,1.0
0,14,0.25,"(4, 50)",swish,0.001,1024,25000,reg_derivative_unstable_fp,0.5,1.0,0.01,linear,0,0,20,3.8013429051186873e-07,1.0
0,14,0.35,"(4, 50)",swish,0.001,1024,25000,reg_derivative_unstable_fp,0.5,1.0,0.01,linear,0,0,20,4.789159768259222e-07,1.0
0,15,0.05,"(4, 50)",swish,0.001,1024,25000,reg_derivative_unstable_fp,0.5,1.0,0.01,linear,0,0,20,1.6380434638030294e-06,1.0
0,15,0.15,"(4, 50)",swish,0.001,1024,25000,reg_derivative_unstable_fp,0.5,1.0,0.01,linear,0,0,20,9.412315546741823e-07,1.0
0,15,0.25,"(4, 50)",swish,0.001,1024,25000,reg_derivative_unstable_fp,0.5,1.0,0.01,linear,0,0,20,4.331965346215938e-07,1.0
0,15,0.35,"(4, 50)",swish,0.001,1024,25000,reg_derivative_unstable_fp,0.5,1.0,0.01,linear,0,0,20,2.939906191157249e-07,1.0
0,16,0.05,"(4, 50)",swish,0.001,1024,25000,reg_derivative_unstable_fp,0.5,1.0,0.01,linear,0,0,20,2.2411879069261786e-07,1.0
0,16,0.15,"(4, 50)",swish,0.001,1024,25000,reg_derivative_unstable_fp,0.5,1.0,0.01,linear,0,0,20,2.6352996633782767e-07,1.0
0,16,0.25,"(4, 50)",swish,0.001,1024,25000,reg_derivative_unstable_fp,0.5,1.0,0.01,linear,0,0,20,3.186613191208387e-07,1.0
0,16,0.35,"(4, 50)",swish,0.001,1024,25000,reg_derivative_unstable_fp,0.5,1.0,0.01,linear,0,0,20,6.824710538033685e-07,1.0
0,17,0.05,"(4, 50)",swish,0.001,1024,25000,reg_derivative_unstable_fp,0.5,1.0,0.01,linear,0,0,20,3.4646425493001234e-07,1.0
0,17,0.15,"(4, 50)",swish,0.001,1024,25000,reg_derivative_unstable_fp,0.5,1.0,0.01,linear,0,0,20,1.6535205030643318e-06,1.0
0,17,0.25,"(4, 50)",swish,0.001,1024,25000,reg_derivative_unstable_fp,0.5,1.0,0.01,linear,0,0,20,6.831307153731813e-07,1.0
0,17,0.35,"(4, 50)",swish,0.001,1024,25000,reg_derivative_unstable_fp,0.5,1.0,0.01,linear,0,0,20,2.687937625145409e-07,1.0
0,18,0.05,"(4, 50)",swish,0.001,1024,25000,reg_derivative_unstable_fp,0.5,1.0,0.01,linear,0,0,20,1.0811781431696587e-06,1.0
0,18,0.15,"(4, 50)",swish,0.001,1024,25000,reg_derivative_unstable_fp,0.5,1.0,0.01,linear,0,0,20,1.4089114410253956e-06,1.0
0,18,0.25,"(4, 50)",swish,0.001,1024,25000,reg_derivative_unstable_fp,0.5,1.0,0.01,linear,0,0,20,6.368959070357505e-07,1.0
0,18,0.35,"(4, 50)",swish,0.001,1024,25000,reg_derivative_unstable_fp,0.5,1.0,0.01,linear,0,0,20,2.880717436426483e-07,1.0
0,19,0.05,"(4, 50)",swish,0.001,1024,25000,reg_derivative_unstable_fp,0.5,1.0,0.01,linear,0,0,20,4.52996008593054e-07,1.0
0,19,0.15,"(4, 50)",swish,0.001,1024,25000,reg_derivative_unstable_fp,0.5,1.0,0.01,linear,0,0,20,2.8814424180012566e-07,1.0
