,T,network_architectures,activations,learning_rates,collocations,epochs,reg_coeff,reg_decay,mean_loss,loss_successes_percent
0,7.5,"(4, 50)",tanh,0.001,1024,20000,0.0,0.999,0.7491111,0.0
0,7.5,"(4, 50)",tanh,0.001,1024,20000,1.0,0.999,0.70636755,0.05
0,7.5,"(4, 50)",tanh,0.001,1024,20000,10.0,0.999,0.2985204,0.6
0,7.5,"(8, 100)",tanh,0.001,1024,20000,0.0,0.999,0.66986096,0.1
0,7.5,"(8, 100)",tanh,0.001,1024,20000,1.0,0.999,0.70677453,0.05
0,7.5,"(8, 100)",tanh,0.001,1024,20000,10.0,0.999,0.5551996,0.25
0,10.0,"(4, 50)",tanh,0.001,1024,20000,0.0,0.999,0.80848646,0.0
0,10.0,"(4, 50)",tanh,0.001,1024,20000,1.0,0.999,0.6445133,0.2
0,10.0,"(4, 50)",tanh,0.001,1024,20000,10.0,0.999,0.37063238,0.55
0,10.0,"(8, 100)",tanh,0.001,1024,20000,0.0,0.999,0.7580354,0.1
0,10.0,"(8, 100)",tanh,0.001,1024,20000,1.0,0.999,0.6672226,0.3
0,10.0,"(8, 100)",tanh,0.001,1024,20000,10.0,0.999,0.69647247,0.2
