,T,network_architectures,activations,learning_rates,collocations,epochs,reg_percentages,mean_loss,loss_successes_percent
0,7.5,"(4, 50)",tanh,0.001,1024,10000,0.0,0.69511676,0.15
0,7.5,"(4, 50)",tanh,0.001,1024,10000,0.5,0.16530727,0.8
0,7.5,"(4, 50)",tanh,0.001,1024,10000,0.95,0.25957122,0.75
0,7.5,"(8, 100)",tanh,0.001,1024,10000,0.0,0.65409935,0.2
0,7.5,"(8, 100)",tanh,0.001,1024,10000,0.5,0.82641286,0.0
0,7.5,"(8, 100)",tanh,0.001,1024,10000,0.95,0.7892911,0.05
0,10.0,"(4, 50)",tanh,0.001,1024,10000,0.0,0.739672,0.15
0,10.0,"(4, 50)",tanh,0.001,1024,10000,0.5,0.6943961,0.25
0,10.0,"(4, 50)",tanh,0.001,1024,10000,0.95,0.29549673,0.8
0,10.0,"(8, 100)",tanh,0.001,1024,10000,0.0,0.78220177,0.1
0,10.0,"(8, 100)",tanh,0.001,1024,10000,0.5,0.821503,0.05
0,10.0,"(8, 100)",tanh,0.001,1024,10000,0.95,0.9836706,0.05
