,T,network_architectures,activations,learning_rates,collocations,epochs,reg_epochs,reg_coeff,reg_decay,mean_loss,loss_successes_percent
0,7.5,"(4, 50)",tanh,0.001,1024,10000,0.0,1,1,0.60862154,0.2
0,7.5,"(4, 50)",tanh,0.001,1024,10000,0.5,1,1,0.48747802,0.35
0,7.5,"(4, 50)",tanh,0.001,1024,10000,0.95,1,1,0.59308493,0.25
0,7.5,"(8, 100)",tanh,0.001,1024,10000,0.0,1,1,0.62499946,0.25
0,7.5,"(8, 100)",tanh,0.001,1024,10000,0.5,1,1,0.46492338,0.4
0,7.5,"(8, 100)",tanh,0.001,1024,10000,0.95,1,1,0.57517684,0.3
0,10.0,"(4, 50)",tanh,0.001,1024,10000,0.0,1,1,0.78189826,0.05
0,10.0,"(4, 50)",tanh,0.001,1024,10000,0.5,1,1,0.7511835,0.15
0,10.0,"(4, 50)",tanh,0.001,1024,10000,0.95,1,1,0.72666323,0.25
0,10.0,"(8, 100)",tanh,0.001,1024,10000,0.0,1,1,0.9253477,0.15
