,T,y0,network_architectures,activations,learning_rates,collocations,epochs,regularization,reg_epochs,reg_coeff,reg_decay,mean_loss,loss_successes_percent
0,7.5,0.001,"(4, 50)",tanh,0.001,1024,50000,no_reg,0.85,1,linear,0.09620672,0.0
0,7.5,0.001,"(4, 50)",tanh,0.001,1024,50000,no_reg,0.85,1,,0.09624718,0.0
0,7.5,0.001,"(4, 50)",tanh,0.001,1024,50000,no_reg,0.85,100000,linear,0.09572158,0.0
0,7.5,0.001,"(4, 50)",tanh,0.001,1024,50000,no_reg,0.85,100000,,0.09625253,0.0
0,7.5,0.001,"(4, 50)",tanh,0.001,1024,50000,unstable_fp,0.85,1,linear,0.09624408,0.0
0,7.5,0.001,"(4, 50)",tanh,0.001,1024,50000,unstable_fp,0.85,1,,0.0962393,0.0
0,7.5,0.001,"(4, 50)",tanh,0.001,1024,50000,unstable_fp,0.85,100000,linear,0.062036622,0.3
0,7.5,0.001,"(4, 50)",tanh,0.001,1024,50000,unstable_fp,0.85,100000,,0.08980657,0.2
0,7.5,0.001,"(4, 50)",tanh,0.001,1024,50000,reg_derivative,0.85,1,linear,0.10897274,0.3
0,7.5,0.001,"(4, 50)",tanh,0.001,1024,50000,reg_derivative,0.85,1,,0.12792721,0.1
0,7.5,0.001,"(4, 50)",tanh,0.001,1024,50000,reg_derivative,0.85,100000,linear,0.14017718,0.0
0,7.5,0.001,"(4, 50)",tanh,0.001,1024,50000,reg_derivative,0.85,100000,,0.05635508,0.0
0,7.5,0.001,"(4, 50)",tanh,0.001,1024,50000,reg_derivative_unstable_fp,0.85,1,linear,0.095915094,0.0
0,7.5,0.001,"(4, 50)",tanh,0.001,1024,50000,reg_derivative_unstable_fp,0.85,1,,0.09624826,0.0
0,7.5,0.001,"(4, 50)",tanh,0.001,1024,50000,reg_derivative_unstable_fp,0.85,100000,linear,0.03876368,0.6
0,7.5,0.001,"(4, 50)",tanh,0.001,1024,50000,reg_derivative_unstable_fp,0.85,100000,,0.066291526,0.3
0,7.5,0.01,"(4, 50)",tanh,0.001,1024,50000,no_reg,0.85,1,linear,0.3831521,0.0
0,7.5,0.01,"(4, 50)",tanh,0.001,1024,50000,no_reg,0.85,1,,0.3851719,0.0
0,7.5,0.01,"(4, 50)",tanh,0.001,1024,50000,no_reg,0.85,100000,linear,0.38517088,0.0
0,7.5,0.01,"(4, 50)",tanh,0.001,1024,50000,no_reg,0.85,100000,,0.38451582,0.0
0,7.5,0.01,"(4, 50)",tanh,0.001,1024,50000,unstable_fp,0.85,1,linear,0.29101485,0.2
0,7.5,0.01,"(4, 50)",tanh,0.001,1024,50000,unstable_fp,0.85,1,,0.2694635,0.3
0,7.5,0.01,"(4, 50)",tanh,0.001,1024,50000,unstable_fp,0.85,100000,linear,0.23246054,0.4
0,7.5,0.01,"(4, 50)",tanh,0.001,1024,50000,unstable_fp,0.85,100000,,0.11581741,0.7
0,7.5,0.01,"(4, 50)",tanh,0.001,1024,50000,reg_derivative,0.85,1,linear,0.11669253,0.7
0,7.5,0.01,"(4, 50)",tanh,0.001,1024,50000,reg_derivative,0.85,1,,0.18299171,0.5
0,7.5,0.01,"(4, 50)",tanh,0.001,1024,50000,reg_derivative,0.85,100000,linear,0.3766855,0.0
0,7.5,0.01,"(4, 50)",tanh,0.001,1024,50000,reg_derivative,0.85,100000,,0.36980924,0.2
0,7.5,0.01,"(4, 50)",tanh,0.001,1024,50000,reg_derivative_unstable_fp,0.85,1,linear,0.3844437,0.0
0,7.5,0.01,"(4, 50)",tanh,0.001,1024,50000,reg_derivative_unstable_fp,0.85,1,,0.30725858,0.2
0,7.5,0.01,"(4, 50)",tanh,0.001,1024,50000,reg_derivative_unstable_fp,0.85,100000,linear,0.23234937,0.4
0,7.5,0.01,"(4, 50)",tanh,0.001,1024,50000,reg_derivative_unstable_fp,0.85,100000,,0.11598636,0.7
0,7.5,0.1,"(4, 50)",tanh,0.001,1024,50000,no_reg,0.85,1,linear,0.68442357,0.0
0,7.5,0.1,"(4, 50)",tanh,0.001,1024,50000,no_reg,0.85,1,,0.61428976,0.1
0,7.5,0.1,"(4, 50)",tanh,0.001,1024,50000,no_reg,0.85,100000,linear,0.6831948,0.0
0,7.5,0.1,"(4, 50)",tanh,0.001,1024,50000,no_reg,0.85,100000,,0.6837335,0.0
0,7.5,0.1,"(4, 50)",tanh,0.001,1024,50000,unstable_fp,0.85,1,linear,0.27274758,0.6
0,7.5,0.1,"(4, 50)",tanh,0.001,1024,50000,unstable_fp,0.85,1,,0.33930105,0.5
0,7.5,0.1,"(4, 50)",tanh,0.001,1024,50000,unstable_fp,0.85,100000,linear,0.06816206,0.9
0,7.5,0.1,"(4, 50)",tanh,0.001,1024,50000,unstable_fp,0.85,100000,,0.41907078,0.6
