,T,y0,network_architectures,activations,learning_rates,collocations,epochs,regularization,reg_epochs,reg_coeff,reg_decay,mean_loss,loss_successes_percent
0,5.0,0.01,"(4, 50)",tanh,0.001,1024,50000,no_reg,1,1,,0.033512354,0.7
0,5.0,0.01,"(4, 50)",tanh,0.001,1024,50000,no_reg,1,10,,0.023150846,0.8
0,5.0,0.01,"(4, 50)",tanh,0.001,1024,50000,no_reg,1,100,,0.02977685,0.7
0,5.0,0.01,"(4, 50)",tanh,0.001,1024,50000,no_reg,1,1000,,0.022506952,0.8
0,5.0,0.01,"(4, 50)",tanh,0.001,1024,50000,unstable_fp,1,1,,0.21856038,0.0
0,5.0,0.01,"(4, 50)",tanh,0.001,1024,50000,unstable_fp,1,10,,0.17723428,0.0
0,5.0,0.01,"(4, 50)",tanh,0.001,1024,50000,unstable_fp,1,100,,0.18940055,0.2
0,5.0,0.01,"(4, 50)",tanh,0.001,1024,50000,unstable_fp,1,1000,,0.2672682,0.5
0,5.0,0.01,"(4, 50)",tanh,0.001,1024,50000,reg_derivative,1,1,,0.57648355,0.0
0,5.0,0.01,"(4, 50)",tanh,0.001,1024,50000,reg_derivative,1,10,,0.5762471,0.0
0,5.0,0.01,"(4, 50)",tanh,0.001,1024,50000,reg_derivative,1,100,,0.59278667,0.0
0,5.0,0.01,"(4, 50)",tanh,0.001,1024,50000,reg_derivative,1,1000,,0.92753285,0.0
0,5.0,0.01,"(4, 50)",tanh,0.001,1024,50000,reg_derivative_unstable_fp,1,1,,0.19760211,0.1
0,5.0,0.01,"(4, 50)",tanh,0.001,1024,50000,reg_derivative_unstable_fp,1,10,,0.18024722,0.2
0,5.0,0.01,"(4, 50)",tanh,0.001,1024,50000,reg_derivative_unstable_fp,1,100,,0.10615212,0.3
0,5.0,0.01,"(4, 50)",tanh,0.001,1024,50000,reg_derivative_unstable_fp,1,1000,,0.17963807,0.7
0,5.0,0.1,"(4, 50)",tanh,0.001,1024,50000,no_reg,1,1,,3.3807319e-06,1.0
0,5.0,0.1,"(4, 50)",tanh,0.001,1024,50000,no_reg,1,10,,1.1300845e-06,1.0
0,5.0,0.1,"(4, 50)",tanh,0.001,1024,50000,no_reg,1,100,,9.135172e-07,1.0
0,5.0,0.1,"(4, 50)",tanh,0.001,1024,50000,no_reg,1,1000,,7.665802e-07,1.0
0,5.0,0.1,"(4, 50)",tanh,0.001,1024,50000,unstable_fp,1,1,,0.7759026,0.5
0,5.0,0.1,"(4, 50)",tanh,0.001,1024,50000,unstable_fp,1,10,,0.57126325,0.7
0,5.0,0.1,"(4, 50)",tanh,0.001,1024,50000,unstable_fp,1,100,,0.8614567,0.6
0,5.0,0.1,"(4, 50)",tanh,0.001,1024,50000,unstable_fp,1,1000,,1.4121764,0.3
0,5.0,0.1,"(4, 50)",tanh,0.001,1024,50000,reg_derivative,1,1,,0.7031413,0.2
0,5.0,0.1,"(4, 50)",tanh,0.001,1024,50000,reg_derivative,1,10,,0.7362383,0.6
0,5.0,0.1,"(4, 50)",tanh,0.001,1024,50000,reg_derivative,1,100,,1.226712,0.0
0,5.0,0.1,"(4, 50)",tanh,0.001,1024,50000,reg_derivative,1,1000,,0.7091479,0.0
0,5.0,0.1,"(4, 50)",tanh,0.001,1024,50000,reg_derivative_unstable_fp,1,1,,1.0267751,0.3
0,5.0,0.1,"(4, 50)",tanh,0.001,1024,50000,reg_derivative_unstable_fp,1,10,,0.84186614,0.5
0,5.0,0.1,"(4, 50)",tanh,0.001,1024,50000,reg_derivative_unstable_fp,1,100,,1.4403757,0.2
0,5.0,0.1,"(4, 50)",tanh,0.001,1024,50000,reg_derivative_unstable_fp,1,1000,,1.1402625,0.2
0,7.5,0.01,"(4, 50)",tanh,0.001,1024,50000,no_reg,1,1,,0.38532907,0.0
0,7.5,0.01,"(4, 50)",tanh,0.001,1024,50000,no_reg,1,10,,0.38526306,0.0
0,7.5,0.01,"(4, 50)",tanh,0.001,1024,50000,no_reg,1,100,,0.3819602,0.0
0,7.5,0.01,"(4, 50)",tanh,0.001,1024,50000,no_reg,1,1000,,0.3853837,0.0
0,7.5,0.01,"(4, 50)",tanh,0.001,1024,50000,unstable_fp,1,1,,0.5127282,0.2
0,7.5,0.01,"(4, 50)",tanh,0.001,1024,50000,unstable_fp,1,10,,0.38277265,0.0
0,7.5,0.01,"(4, 50)",tanh,0.001,1024,50000,unstable_fp,1,100,,0.44868785,0.1
0,7.5,0.01,"(4, 50)",tanh,0.001,1024,50000,unstable_fp,1,1000,,0.93091524,0.4
0,7.5,0.01,"(4, 50)",tanh,0.001,1024,50000,reg_derivative,1,1,,0.3935943,0.0
0,7.5,0.01,"(4, 50)",tanh,0.001,1024,50000,reg_derivative,1,10,,1.0255079,0.0
0,7.5,0.01,"(4, 50)",tanh,0.001,1024,50000,reg_derivative,1,100,,1.6086887,0.0
0,7.5,0.01,"(4, 50)",tanh,0.001,1024,50000,reg_derivative,1,1000,,1.2982754,0.0
0,7.5,0.01,"(4, 50)",tanh,0.001,1024,50000,reg_derivative_unstable_fp,1,1,,0.67750764,0.2
0,7.5,0.01,"(4, 50)",tanh,0.001,1024,50000,reg_derivative_unstable_fp,1,10,,0.5842902,0.0
0,7.5,0.01,"(4, 50)",tanh,0.001,1024,50000,reg_derivative_unstable_fp,1,100,,0.608041,0.3
0,7.5,0.01,"(4, 50)",tanh,0.001,1024,50000,reg_derivative_unstable_fp,1,1000,,1.0795782,0.3
0,7.5,0.1,"(4, 50)",tanh,0.001,1024,50000,no_reg,1,1,,0.6836294,0.0
0,7.5,0.1,"(4, 50)",tanh,0.001,1024,50000,no_reg,1,10,,0.6836229,0.0
0,7.5,0.1,"(4, 50)",tanh,0.001,1024,50000,no_reg,1,100,,0.68412185,0.0
0,7.5,0.1,"(4, 50)",tanh,0.001,1024,50000,no_reg,1,1000,,0.6835791,0.0
0,7.5,0.1,"(4, 50)",tanh,0.001,1024,50000,unstable_fp,1,1,,0.9357008,0.6
0,7.5,0.1,"(4, 50)",tanh,0.001,1024,50000,unstable_fp,1,10,,1.3738605,0.4
0,7.5,0.1,"(4, 50)",tanh,0.001,1024,50000,unstable_fp,1,100,,1.6267887,0.4
0,7.5,0.1,"(4, 50)",tanh,0.001,1024,50000,unstable_fp,1,1000,,0.269754,0.9
0,7.5,0.1,"(4, 50)",tanh,0.001,1024,50000,reg_derivative,1,1,,1.1320586,0.0
0,7.5,0.1,"(4, 50)",tanh,0.001,1024,50000,reg_derivative,1,10,,1.4585956,0.0
0,7.5,0.1,"(4, 50)",tanh,0.001,1024,50000,reg_derivative,1,100,,1.477548,0.0
0,7.5,0.1,"(4, 50)",tanh,0.001,1024,50000,reg_derivative,1,1000,,2.0770497,0.0
0,7.5,0.1,"(4, 50)",tanh,0.001,1024,50000,reg_derivative_unstable_fp,1,1,,0.91470593,0.6
0,7.5,0.1,"(4, 50)",tanh,0.001,1024,50000,reg_derivative_unstable_fp,1,10,,1.4690791,0.4
0,7.5,0.1,"(4, 50)",tanh,0.001,1024,50000,reg_derivative_unstable_fp,1,100,,1.5166309,0.4
0,7.5,0.1,"(4, 50)",tanh,0.001,1024,50000,reg_derivative_unstable_fp,1,1000,,1.5652139,0.2
