,T,network_architectures,activations,learning_rates,collocations,epochs,reg_epochs,reg_coeff,reg_decay,mean_loss,loss_successes_percent
0,7.5,"(4, 50)",tanh,0.001,1024,10000,0.0,1,1,0.8922002,0.2
0,7.5,"(4, 50)",tanh,0.001,1024,10000,0.5,1,1,1.5399604,0.3
0,7.5,"(4, 50)",tanh,0.001,1024,10000,0.95,1,1,3.5560634,0.15
0,7.5,"(8, 100)",tanh,0.001,1024,10000,0.0,1,1,0.8829735,0.3
0,7.5,"(8, 100)",tanh,0.001,1024,10000,0.5,1,1,5.3313866,0.1
0,7.5,"(8, 100)",tanh,0.001,1024,10000,0.95,1,1,9.89361,0.05
0,10.0,"(4, 50)",tanh,0.001,1024,10000,0.0,1,1,1.7182963,0.05
0,10.0,"(4, 50)",tanh,0.001,1024,10000,0.5,1,1,4.5830803,0.15
0,10.0,"(4, 50)",tanh,0.001,1024,10000,0.95,1,1,6.657754,0.1
0,10.0,"(8, 100)",tanh,0.001,1024,10000,0.0,1,1,1.0855078,0.3
0,10.0,"(8, 100)",tanh,0.001,1024,10000,0.5,1,1,7.7345986,0.05
0,10.0,"(8, 100)",tanh,0.001,1024,10000,0.95,1,1,12.494354,0.0
