,T,x0,x_t0,network_architectures,activations,learning_rates,collocations,epochs,regularization,reg_epochs,reg_coeff,reg_decay,mean_loss,loss_successes_percent
0,5.0,0.001,0,"(4, 50)",swish,0.001,1024,25000,no_reg,0.5,0.0,linear,3.7585588960054037e-07,1.0
0,5.0,0.01,0,"(4, 50)",swish,0.001,1024,25000,no_reg,0.5,0.0,linear,2.0301399721311953e-07,1.0
0,5.0,0.1,0,"(4, 50)",swish,0.001,1024,25000,no_reg,0.5,0.0,linear,2.4707584287547713e-08,1.0
0,5.0,0.5,0,"(4, 50)",swish,0.001,1024,25000,no_reg,0.5,0.0,linear,2.3446937600452023e-06,1.0
0,7.5,0.001,0,"(4, 50)",swish,0.001,1024,25000,no_reg,0.5,0.0,linear,1.3270368297534084e-07,1.0
0,7.5,0.01,0,"(4, 50)",swish,0.001,1024,25000,no_reg,0.5,0.0,linear,7.592813171530821e-08,1.0
0,7.5,0.1,0,"(4, 50)",swish,0.001,1024,25000,no_reg,0.5,0.0,linear,8.524953689637016e-08,1.0
0,7.5,0.5,0,"(4, 50)",swish,0.001,1024,25000,no_reg,0.5,0.0,linear,1.6913623497316621e-06,1.0
0,10.0,0.001,0,"(4, 50)",swish,0.001,1024,25000,no_reg,0.5,0.0,linear,2.9877037868164533e-07,1.0
0,10.0,0.01,0,"(4, 50)",swish,0.001,1024,25000,no_reg,0.5,0.0,linear,1.6858260384999824e-06,1.0
0,10.0,0.1,0,"(4, 50)",swish,0.001,1024,25000,no_reg,0.5,0.0,linear,1.572648111514141e-07,1.0
0,10.0,0.5,0,"(4, 50)",swish,0.001,1024,25000,no_reg,0.5,0.0,linear,6.499759054090504e-07,1.0
0,12.5,0.001,0,"(4, 50)",swish,0.001,1024,25000,no_reg,0.5,0.0,linear,0.7366721749305725,0.0
0,12.5,0.01,0,"(4, 50)",swish,0.001,1024,25000,no_reg,0.5,0.0,linear,0.7286369502544403,0.0
0,12.5,0.1,0,"(4, 50)",swish,0.001,1024,25000,no_reg,0.5,0.0,linear,0.7809335649013519,0.0
0,12.5,0.5,0,"(4, 50)",swish,0.001,1024,25000,no_reg,0.5,0.0,linear,0.798367565870285,0.0
