,"(x0, x_t0)",success_no_reg,success_reg_derivative,success_reg_derivative_unstable_fp
0,"(-0.051155697524179505, -0.05950266142244314)",False,True,True
0,"(0.7716480356657753, -0.03060896475066407)",False,True,False
0,"(-0.2879105295074996, 0.1361612407336486)",False,True,True
0,"(-0.1969132809831832, -0.23207430410634597)",False,True,False
0,"(-0.20912278959932945, 0.21575156508639792)",False,True,True
0,"(0.1789392626204229, 0.04838877937805634)",False,False,True
0,"(0.10459892537226968, 0.03384412970785664)",False,False,False
0,"(-0.27237770714449644, -0.10682615256635)",False,True,True
0,"(-0.20080481399888464, -0.25998849678643904)",False,True,True
0,"(-0.03606164306391715, 0.042882959400034996)",False,False,False
0,"(-0.17031528905177043, -0.0368834846959595)",False,True,True
0,"(0.05095639224236745, 0.4393075612273714)",False,True,False
0,"(-0.40902947325526834, -0.26761820716244467)",False,True,False
0,"(-0.14225208934003863, 0.3391533983788368)",False,True,False
0,"(-0.38888098276720207, 0.2253423450095634)",False,True,False
0,"(-0.07041766196196249, -0.08470138111867813)",False,True,True
0,"(-0.1334493009444984, 0.4353271201745149)",False,True,False
0,"(0.10877815028933611, -0.45676259160028565)",False,False,True
0,"(-0.11511119061455609, -0.14001007057088816)",False,False,True
0,"(-0.060472141766545646, -0.29463689301409485)",False,True,True
0,"(0.17650153748288935, -0.30078862243270027)",False,False,True
0,"(0.10337551893951558, 0.12402304518744228)",False,True,True
0,"(-0.3129675939271133, -0.18573579899816767)",False,True,False
0,"(-0.15007872152385515, -0.18085130285915438)",False,True,False
0,"(-0.44377782419203377, -0.27843959463403195)",False,True,False
0,"(-0.18083907418205578, -0.06517758534405804)",False,True,True
0,"(0.027216966186870563, -0.07111064107546629)",False,False,False
0,"(-0.05388183498617536, -0.06264132716851152)",False,True,True
0,"(-0.034574363544995136, 0.26509361770369255)",False,False,False
0,"(-0.05575149527524658, 0.0843255855461482)",False,False,True
0,"(0.3351099589641898, 0.1566785193302248)",False,True,False
0,"(-0.055466772197071024, -0.0096033262517253)",False,False,False
0,"(-0.14124637088808847, -0.08886657547177178)",False,True,True
0,"(-0.23195919215726252, 0.030969807474390286)",False,False,True
0,"(0.28103982900003166, 0.19318373118748963)",False,True,False
0,"(-0.15678436886022434, 0.20815887480120077)",False,True,True
0,"(0.2981345104929277, -0.14687750883449618)",False,False,False
0,"(0.33545132809232925, -0.01681665421784514)",False,True,False
0,"(0.3499221770164687, 0.5052107583987434)",True,True,True
0,"(-0.14942276585384165, 0.360838847982538)",False,True,False
0,"(0.1614516753105947, -0.21122421499005034)",False,False,True
0,"(-0.10175205586440936, -0.3157826997225293)",False,True,True
0,"(-0.12108925607271999, 0.05403193066230915)",False,False,False
0,"(-0.20567478454890464, -0.17920651561117193)",False,False,True
0,"(-0.007766044539569395, 0.2643620881318433)",False,True,False
0,"(0.29665658469575884, 0.22610686146401862)",False,False,True
0,"(-0.1661020428532482, 0.13408409824521397)",False,False,True
