,"(x0, x_t0)",success_no_reg,success_reg_derivative_unstable_fp
0,"(-0.5102295688688078, 0.8873406126446509)",False,False
0,"(-0.5340981943268323, -0.11136224662365689)",False,True
0,"(-0.3568787736926217, 0.3048238748527223)",False,True
0,"(0.8537263215815721, 0.43282998389205557)",True,True
0,"(-0.5618238574618512, -0.42476071505132545)",True,True
0,"(-0.03448067916906701, -0.15488670881513597)",False,True
0,"(0.9318273044985574, 0.05240719244172634)",True,True
0,"(-0.2585462652243501, 0.44326001738262644)",False,False
0,"(-0.003877072712164152, -0.9031574727380025)",True,True
0,"(0.029599977029109856, 0.6739152220136146)",False,True
0,"(0.17571088004658794, 0.6896793740196271)",True,True
0,"(-0.14786759986203277, -0.29151292266461665)",False,True
0,"(-0.09979594330850773, 0.4546157541588521)",False,False
0,"(-0.11442280186335696, -0.49657737735820007)",False,True
0,"(-0.1668080576739716, -0.0557308082061413)",False,False
0,"(-0.1521426615782921, 0.631567373745472)",False,True
0,"(-0.994495079774704, -0.44215317465131376)",True,True
0,"(-0.11759909438123554, 0.04186229562706658)",False,True
0,"(0.335709844540928, -0.36740504826709763)",False,True
0,"(0.14413833696189007, -0.46676918610159124)",False,False
