,"(x0, x_t0)",success_no_reg,success_reg_derivative_unstable_fp
0,"(-0.5390408633973308, 0.30057265041164494)",False,True
0,"(-0.46809733176032137, -0.8603463978737711)",False,False
0,"(-0.9716687914831458, 0.3219953416424763)",False,True
0,"(0.254641744901709, 0.024177964947350066)",False,False
0,"(0.7549025546174767, 0.1961593159480062)",False,True
0,"(-1.0583311141679745, 0.09828868130591291)",False,True
0,"(0.7802507446946519, -0.4976926896361593)",False,False
0,"(0.31176188093458784, -0.08073746375406225)",False,False
0,"(-0.33706662312714425, -0.7024199228447837)",False,False
0,"(-0.1891377723408946, -0.33210132769652284)",False,True
0,"(-0.17618233526500773, 0.4823577660636695)",False,False
0,"(0.1444141391296142, -0.7495872289113255)",False,False
0,"(-0.3281123189336926, 0.08055726818167484)",False,False
0,"(-1.3701757026347445, 0.3680941322815404)",False,True
0,"(-0.013353365545657137, 0.2633640666867827)",False,True
0,"(0.17422807858810346, 0.12681043359512578)",False,True
0,"(0.27152724487061397, 0.5328320392935882)",False,True
0,"(0.15807412935679618, -0.2333551412304716)",False,False
0,"(-0.4605443111169505, 0.25684922998310494)",False,False
0,"(0.5012720553950878, -0.16471945530144042)",False,True
0,"(0.2691146728643577, -0.6504917905328469)",False,True
0,"(-0.07940616798522779, 0.11954476917998681)",False,False
0,"(0.5261184126300938, -0.7206940693032478)",False,True
0,"(-0.3243806346957016, 0.8339357452906142)",True,True
0,"(0.20801210949876955, 0.14738656734189165)",False,True
0,"(0.5040410450727278, -0.19611167442898375)",False,True
0,"(-0.5734412296226159, 0.39516317975556314)",False,False
0,"(-0.26356983373403614, 0.5616567391611289)",False,True
0,"(0.6262270958149708, 0.16523103882553142)",False,False
0,"(-0.254330639088432, -0.8290858412485786)",False,False
0,"(0.24269239567112502, 0.7414179647033668)",False,True
0,"(0.06314943831363863, -0.19770591125695772)",False,False
