,"(x0, x_t0)",converged to,closest fp,stability,success
0,"(-0.22169195434921848, 0.43314643250976576)","(-0.017694231122732162, -0.013421888463199139)","(0.0, 0.0)",unstable,False
0,"(-0.6838062613678462, -0.8733573559650696)","(0.03241749852895737, 0.011736308224499226)","(0.0, 0.0)",unstable,False
0,"(0.49422779593455696, 0.2917638208464502)","(1.7284406423568726, 1.4958223104476929)",,,True
0,"(-0.1329521581274021, 0.48172684131346144)","(-0.0169611107558012, -0.01123138703405857)","(0.0, 0.0)",unstable,False
0,"(-0.09229087570803045, -0.005869611399928316)","(-0.08415225148200989, -0.2832796573638916)",,,False
0,"(-0.9569989325437716, -0.9215191304003794)","(0.03636602312326431, 0.018002953380346298)","(0.0, 0.0)",unstable,False
0,"(0.20693888510861977, -0.772047435420256)","(0.028254687786102295, 0.017119603231549263)","(0.0, 0.0)",unstable,False
0,"(-0.502246934113105, -1.1859068652767673)","(0.0680089220404625, 0.04524172469973564)","(0.0, 0.0)",unstable,False
0,"(1.0592385191820406, 0.40586283250511995)","(-0.011729163117706776, 0.008355595171451569)","(0.0, 0.0)",unstable,False
0,"(-0.8050149167433136, -0.5666074580424788)","(-0.7176803350448608, -2.6337618827819824)",,,False
0,"(1.4784759173600532, 1.2625420977240893)","(-0.17536738514900208, -0.1298515498638153)",,,False
0,"(1.3612830822518251, 1.5045903690618871)","(0.08786081522703171, 2.2643864154815674)",,,True
0,"(-0.3373801224746092, 1.782273183598956)","(-1.3972922563552856, 0.8595499992370605)",,,True
0,"(-2.6279383650827133, 0.16616841020080966)","(1.1047943830490112, -1.0698881149291992)",,,True
0,"(0.834264240088301, -0.5473229272957644)","(0.04366647079586983, 0.04790065065026283)","(0.0, 0.0)",unstable,False
0,"(0.9553658931249444, 0.22002669629854452)","(-0.9695669412612915, 1.0358978509902954)",,,False
0,"(-0.8483994767784658, -0.6364236174417508)","(0.024865927174687386, 0.001573817222379148)","(0.0, 0.0)",unstable,False
0,"(-0.5230806201118926, 0.18380687173978447)","(-0.669510006904602, -2.5844695568084717)",,,False
0,"(-0.21014771754576198, 1.4306574240359053)","(-1.2465906143188477, 0.9597489237785339)",,,True
0,"(0.6053106319647162, -0.6835775760633196)","(0.03651593253016472, 0.02666756883263588)","(0.0, 0.0)",unstable,False
0,"(0.22139524619370887, 0.17989877273227833)","(0.40419068932533264, 2.507530689239502)",,,False
