,"(x0, x_t0)",converged to,closest fp,stability,success
0,"(-0.10233443180073071, -0.03211535396391479)","(0.1552075892686844, 2.319944381713867)",,,True
0,"(-0.016936912307225504, 0.011274718119381699)","(-0.4544423222541809, -0.6533917784690857)",,,False
0,"(-0.21269104041250786, -0.23650210382627246)","(-1.0305767059326172, 1.1354892253875732)",,,True
0,"(0.1208552357214509, 0.0026761257744741967)","(-0.3005560636520386, -2.4399917125701904)",,,False
0,"(-0.1680069586593412, -0.021711400768369193)","(0.9141882061958313, 2.665024518966675)",,,True
0,"(0.004885298607938727, -0.0707004785506223)","(-1.9373992681503296, 0.40287843346595764)",,,True
0,"(-0.031170261198835227, 0.23954834040255135)","(1.893743872642517, -0.4808445870876312)",,,True
0,"(-0.043294503104209445, -0.13689619438295525)","(-1.691978096961975, 0.6612878441810608)",,,True
0,"(-0.15453357504355283, -0.09751328177911485)","(-0.44976720213890076, 1.7004296779632568)",,,True
0,"(-0.01974133832180673, -0.06913912907316176)","(-1.6451730728149414, 0.6902109384536743)",,,False
0,"(0.05346685033256126, -0.0278571568531571)","(0.7650394439697266, -1.1388323307037354)",,,False
0,"(0.0005189570510542818, 0.13757046434809866)","(1.8713696002960205, -0.506159782409668)",,,True
0,"(0.08828491752671053, -0.06516803534222715)","(-1.9368797540664673, -0.6735475659370422)",,,True
0,"(0.027585943689461063, -0.0016827653109740823)","(1.223724126815796, -0.6406794786453247)",,,False
0,"(0.20701141042206644, -0.04218784077319801)","(-1.6815736293792725, -1.6624072790145874)",,,True
0,"(-0.05929334766075527, -0.23501854606865377)","(-1.6954911947250366, 0.6603403687477112)",,,True
0,"(0.07339658842824856, 0.09921559977925853)","(1.3518600463867188, -0.8833068013191223)",,,True
0,"(0.1623465023642393, -0.15460079755139083)","(-2.001662015914917, -0.08186279237270355)",,,True
0,"(0.03918843277722053, 0.008658285911623402)","(-0.18155376613140106, -2.350740909576416)",,,True
0,"(0.16722743822581693, 0.06362034937089181)","(-0.14580939710140228, -2.3108270168304443)",,,True
0,"(-0.12568692402679085, -0.038492391395915794)","(0.2629239559173584, 2.4340362548828125)",,,True
0,"(-0.10095865530218998, -0.03767247995628083)","(-0.013988515362143517, 2.1600875854492188)",,,True
0,"(-0.019296012681083337, -0.03745345941265511)","(-1.5264590978622437, 0.771009087562561)",,,False
0,"(0.022088623626991516, 0.06407530365623584)","(1.7067139148712158, -0.6502057909965515)",,,True
0,"(0.16734706856068216, 0.008202766892940876)","(1.0623894929885864, -0.39926043152809143)",,,False
0,"(0.05892924278976406, -0.0037177717022367665)","(-0.9376981854438782, -2.657310962677002)",,,True
0,"(0.06248416077411463, -0.13911901124698858)","(-1.9891650676727295, 0.23591868579387665)",,,True
0,"(-0.03094574701921043, -0.03630868563447452)","(-1.3000208139419556, 0.9223250150680542)",,,True
0,"(-0.09157860432692642, 0.07434928449084176)","(0.879298985004425, 2.6683602333068848)",,,False
0,"(-0.2837656320877695, 0.05367238785627339)","(1.7361160516738892, 1.4995157718658447)",,,True
0,"(0.03095724619247089, 0.00032797660390791993)","(0.9278036952018738, -1.216559648513794)",,,False
0,"(-0.016151324583047116, 0.08850765034376049)","(1.9584203958511353, -0.3514590859413147)",,,True
0,"(0.18385847983981163, 0.021284351975322573)","(-0.8297038078308105, -2.678039073944092)",,,True
0,"(-0.03170060520211396, 0.07120669028821161)","(2.007693290710449, -0.0944167971611023)",,,True
0,"(0.015466608423880299, -0.024004068887921965)","(-1.523718237876892, -1.998936414718628)",,,False
0,"(-0.10195776646661876, -0.08249562059351158)","(-0.8771711587905884, 1.2692567110061646)",,,True
0,"(-0.007063916967656882, -0.019792314459817162)","(-1.5268101692199707, 0.7538312673568726)",,,False
0,"(-0.06304807096892208, 0.07763863207829891)","(0.25966283679008484, 0.7382287383079529)",,,False
0,"(0.1786121610317427, -0.0356708948058699)","(-1.6190903186798096, -1.8021749258041382)",,,True
0,"(-0.047970160101637384, 0.12252522558509833)","(1.9868923425674438, -0.24921917915344238)",,,True
0,"(0.11022379444904747, 0.039438734510253766)","(-0.1813550740480423, -2.3651485443115234)",,,True
0,"(-0.15479124782097362, 0.014988215055598398)","(1.4136959314346313, 2.2417757511138916)",,,True
0,"(0.09300632671347156, -0.16839823836955162)","(-1.9923646450042725, 0.22278669476509094)",,,True
0,"(0.024190303241288538, -0.0060568450232846485)","(1.210176706314087, -0.6506780385971069)",,,False
