,"(x0, x_t0)",success_no_reg,success_reg_derivative_unstable_fp
0,"(-0.7892134286037845, -0.8901372802947537)",False,True
0,"(-0.2000421405020089, 0.39276137403485223)",False,True
0,"(-0.03568643343670659, -0.43186212770619686)",False,True
0,"(-0.4749366278888716, -0.1462072308964935)",False,True
0,"(0.6823788120803226, 0.9117995671214851)",False,True
0,"(-0.23984320325358185, -0.13522181144753867)",False,False
0,"(0.7858018102792116, 0.3039967400437179)",True,True
0,"(0.954428676097945, -0.41152586067131874)",True,True
0,"(-1.1792673675739702, 0.28068938264787596)",True,True
0,"(0.742973525002675, -0.013070634747081034)",True,True
0,"(-0.6826441437779829, 0.6819149424536091)",False,True
