,"(x0, x_t0)",success_no_reg,success_reg_derivative_unstable_fp
0,"(0.6615373577050172, -0.41666661071087846)",False,True
0,"(-0.36001729921703485, -0.06333647260583569)",False,True
0,"(0.26706858949462786, -0.04775755753255559)",False,True
0,"(0.2856726651795754, -0.2858755039630853)",False,True
0,"(0.25674759649008433, 0.3416124718924849)",False,True
0,"(-0.4282909145321318, -0.4895673109038106)",False,True
0,"(-0.2732346279205986, -0.34058906191674587)",False,True
0,"(0.5641936436030551, -0.13885134008674596)",False,True
0,"(-0.23193500063396108, 0.5637505001639801)",False,True
0,"(0.3175112862993928, 0.13043031603009853)",False,True
0,"(-0.22161826290470957, 0.548776572591815)",False,True
0,"(-0.558466484274128, 0.5441489128187048)",False,True
0,"(0.07221572911458403, 0.09763742863781852)",False,True
0,"(0.13251057538861158, 0.34231577235697574)",False,True
0,"(-0.11174882385823191, 0.8271349334004585)",False,True
0,"(-0.1557341733606692, 0.15974482146096006)",False,True
0,"(-0.24621660742178578, -0.3343214777598209)",False,True
0,"(-0.3803220075198793, 0.16211388261430637)",False,True
0,"(-0.06592666081884344, 0.41626726897355626)",False,True
0,"(-0.016602240468450203, -0.6141700484306037)",False,True
