,"(x0, x_t0)",success_no_reg,success_reg_derivative_unstable_fp
0,"(-0.5884469299288266, -0.7141808159467483)",False,True
0,"(-0.15016615137186307, -0.9357387496018169)",False,False
0,"(-1.1284341220967513, -0.2516199605918692)",False,True
0,"(-0.11656730564327944, 0.7576777003712635)",False,False
0,"(0.056414197833677945, -0.87717297834691)",False,False
0,"(0.05355021157846933, 0.7436365449723973)",False,True
0,"(1.2911987267024638, 1.7884035701616894)",False,False
0,"(-1.0033552321336074, 0.22907685976607767)",False,True
0,"(0.3436933208462521, 0.7180756698021714)",False,True
0,"(-0.7336608941337137, -0.07039799704524534)",False,False
0,"(-0.39390980885299687, -0.2519128223798414)",False,True
0,"(1.2042548945303855, -1.267124166571673)",False,True
0,"(-0.028321450138745152, -0.3360893180086656)",False,True
0,"(0.04318578282336099, -0.19151826793616797)",False,True
0,"(0.5531496984095791, -0.9309586286007604)",False,True
